,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,902.1596840336665,848.1304425310018,744.339838683504,850.6431143136517,849.4829859945634,797.1631430638765,770.7619612028882,761.8682044928448,744.5121168075494,731.1043670835132,680.6501373712308,641.9356029022803,721.4104373503692,793.5380123005992,768.3047346018435,703.0160548947114,677.9799124318852,722.3080940380853,795.3696205597677,938.0279026031546,970.630666152848,904.4069248970638,754.0224316854619,753.8657358432937,884.6896598582696,879.1010267798263,877.1766451877274,857.9594443495773,873.5317716185515,819.711389505441,733.9783900279194,735.6884813709358,724.4170006010794,728.0768593202018,798.5598246586466,803.3938795783921,723.8637312826271,683.6491150029759,693.8097585512724,677.1229560918441,656.7415320247029,711.1055798420999,777.3045210887207,841.4666799977076,851.5472702592909,814.8426275279683,784.6990943819216,736.5346814309771,717.2417800589969,708.359505783946,748.9980969955211,785.2040247841148,713.5942298919107,616.0937203158858,626.1929005481207,670.4159167590625,691.709268652196,698.5757060705511,670.4443602574374,664.0574670712691,684.3712435715004,699.5373025691349,708.2033298842788,693.0567701861345,693.6808106277892,739.2309907178246,848.126540602173,956.3089283931058,931.8782171319688,824.6137810941467,762.180785632134,825.8875075424895,929.1237858204404,921.7160389878793,770.9853390083597,728.5273609745923,771.9556258500585,742.1980031978118,661.5930656728615,696.4581439745954,762.6995933308451,803.2624795430085,776.8518526572287,743.5699353544793,753.4482966075722,691.3553825163059,703.0735693126578,730.9030189798597,730.720826355598,783.5406781301413,798.6070930034097,752.2832560741278,722.9869758527011,713.1872257604582,709.3226240524451,739.9368403991203,761.1514105603449,771.1795538853706,773.0408193881387,769.8825314938307,775.3745329739835,726.1411414331936,703.2007356752542,759.631806031879,766.8750843054634,761.457385844815,746.611625861058,732.2992181903694,712.271999475565,711.3096354357352,737.8608638640269,753.0655554518812,696.3343269530511,678.74922231495,751.6773669486797,774.5568892464628,734.5260701494609,729.2659902401786,748.598683145614,766.6770325431752,784.0101392088932,778.3906178296946,707.6411707280506,728.4552109610875,748.0698979569354,721.1800825766942,718.3364989487236,687.0242302047743
std,629.9474658189754,464.51157126671694,465.008450436302,451.3531889171284,431.3355497444323,384.4549888772468,379.07133404072965,364.2107770360736,389.30292244054715,424.7562519095656,379.15062479235127,350.85642220550886,388.5048704740822,371.3422262872983,371.20408067297916,350.8496476144599,336.74324678414695,373.17966956487805,468.3425178599906,502.7033852041331,519.7517594128337,434.75083111875017,377.3872202865295,422.7119231210755,430.32969895423605,451.84815239315964,419.3534014595521,509.6025519478121,480.7807732470752,393.95374049711046,382.5019991586709,400.59178058291855,389.88737039425354,390.6192751158222,403.4531124821978,380.51953197730734,383.88089815199004,391.561651927597,367.9286028933616,380.8449835239257,397.16932239838735,357.41687065106515,391.46220808731744,376.0525765161826,382.1179488839053,423.38942014190127,429.69576935917263,445.83222589506227,410.2436075763912,394.98131885868725,412.0396926467222,388.99433133611603,333.6285955522339,329.2210075863919,356.39879905754884,366.9295426065414,346.09966309578317,360.10462479785366,371.5126117723334,352.9295805922339,367.42768158100876,384.30097774851777,360.43355545333674,368.1961313344324,338.2236940007485,343.6085656493836,401.92345055885545,444.0680141649479,455.03725989148205,375.7651014068975,340.4184272089139,390.0918079135938,479.8330259196917,474.4884846422968,447.16240117521056,381.8010991198993,399.97091939691467,373.12648970334993,390.5743476854644,399.2460004608415,440.02944145269726,447.70581799032226,414.9319246485753,435.7038449038502,424.0868035105178,406.0658252423235,355.2244847695719,389.40066131399317,375.2872215857385,408.13913491129944,416.24252603242525,356.8611424936885,366.2554764634802,338.04054496467114,348.02381029922554,392.2291766185262,379.899484805878,365.088510015991,442.6254509794962,497.1777622110804,412.54587888978574,372.76926496109553,366.21866460039746,391.65402709511585,397.5634496001489,376.51211492106495,390.5690887235903,356.10827163769926,379.7401511930439,392.20381297141046,393.45872777577745,389.4777630954095,356.9393313113726,365.14882047310465,445.20261972695755,424.4932040502822,353.8528382893641,355.40029127610745,405.1970834048713,401.4040502751126,394.463764665452,383.5945817308429,379.46622958090165,398.93658626641,409.56778932352097,373.2698865477675,382.27383124146127,340.37151746590933
min,6.503647280343216,40.86730645771362,28.009833366468392,18.9750673411453,82.56387464001075,14.343121048779194,64.45618295278821,34.992788864649846,22.39048769993045,29.477626097990058,35.65832638908568,14.290955844040328,38.76789742646366,55.773659588729146,13.877158028397067,57.12250950121279,35.20510876127726,37.08473026131805,32.32999992285611,12.84377054653099,37.10839356814358,105.60240228285672,49.02139371844304,55.78604388592599,79.37257202029609,21.67897285587763,33.972241719833406,31.646987139784827,9.778656298965224,80.57648979156984,30.010598501228625,25.0996209372842,25.30398163023585,83.35859427440285,37.986949187189055,32.77115517849765,50.46016099753355,11.786453579793251,106.30957615107516,31.483418927585262,13.908761957796989,11.06812467908647,85.66634693235737,23.77118748949056,107.38767299159468,38.72470750391871,11.4327042102609,15.802056764110986,23.71574343704721,39.53788706205346,4.460037980942206,17.890182405254482,39.25241486644742,24.566182779002435,33.043591633269976,22.948863049859558,5.743816328775512,46.90175812594631,24.798139940106868,13.3047837939352,16.205504318196002,8.833676651498743,14.06078675703592,43.07968470314095,24.07578930297729,41.4340308708254,13.260230039779726,43.07159174007615,48.96810066149638,30.49003117244175,1.1112064217180249,28.76589491788921,55.49400855236607,11.519038645624216,32.57789501453568,29.146725832308096,14.622515058017106,80.03415702396062,14.094606111599935,21.06610242924768,79.38188121911934,42.071406461158986,57.121182874019134,34.04090181671932,72.40502515857072,60.61710296853848,30.154576947584697,26.092692780678544,47.69748939100002,23.350808219872462,31.488695716585102,29.417805942781985,71.88545857344454,22.151980930587783,2.544974401457049,20.672990228764064,32.444519591284134,64.40994771474925,63.54307027766588,20.99190368263988,53.411248786026114,54.09309547807828,53.37871916753839,83.1782501008594,31.91939822953903,38.38868326331841,54.101699505988,15.752915593642992,66.52681491920214,23.45406767792991,20.784925149431693,23.847759911566456,2.8324830290069136,49.065678140856285,41.53372468032463,33.898168856422444,71.85341810516991,69.1239624978291,5.865150157749146,49.22845801919164,23.699753841402817,48.54279944064627,53.24493692900524,43.83745531213569,19.42412782870287,32.078954796219506,37.41299650386479,36.05942224194591
25%,422.9576870164313,517.1715880617097,454.4336330348214,554.7494072787351,564.3363525944915,530.9558074384923,479.11283203409073,506.87886607176733,476.8123406397455,450.15444779199834,393.5654153114293,374.75537382333044,393.537358532555,540.1065248414022,474.2755664578013,450.3821782396162,420.79949349835874,445.7318735715168,429.6651082656268,563.1419661229845,534.0878474692435,552.1994812218666,471.84287524517174,389.28966337900806,559.0293886092898,537.041543742661,587.1675374271355,504.7174738291892,544.4916037507994,534.4800492401522,401.21181218387323,435.52332140409874,405.39769056168905,447.12355553739,536.2771794773125,504.1321796006687,460.22336002952375,389.82116934995315,421.69019653471446,398.88803549672303,349.3339597569579,443.6014184507653,459.5631478388496,561.4659195955674,573.8278764568397,483.249091359103,438.0097469662393,402.1446657064786,421.84624522859394,402.3603337667398,406.41290033199584,508.6151872031405,475.8273288429285,371.7689198982781,369.1441977440709,414.89046534858306,443.0576031504476,435.43312440103114,367.5335485789607,406.1975818973383,406.4266176839813,395.79789409784524,430.7858377746194,420.7644949595686,411.8490628050572,470.0444016210553,528.1598857637275,629.9471872370661,591.7094498589952,584.0324377256206,530.1584271646127,565.012595191366,556.3377717433176,537.417468792019,412.63670144222874,474.445186939345,481.41531362151136,461.0454365164736,403.08319329313,393.7976106149528,425.76048297931175,459.583937257563,473.5853960944503,392.8049249940857,456.50617179139726,387.8611349295418,429.1201027472231,433.7197957563224,435.542298550787,456.67099520146564,455.11244723549,474.4562667075686,430.0564207731557,481.8473285833729,464.92562041066617,449.85385600430834,487.58973158464846,524.9649654506991,432.2880068044368,406.7628243296158,438.09565446625027,465.668820158658,455.135506016112,474.20294090124935,453.44636413802493,482.46551594959396,478.0988506665766,491.46654271932863,433.0093922319082,446.3244809478719,431.5387865959309,454.77374788283754,441.845305298234,406.7747519678717,420.7219247976738,453.09026513165105,469.86883385853923,474.9732659354484,460.0818723349343,482.91175369494084,500.4038364084089,517.4550445647003,407.64159294037404,442.53461078960856,446.12874003562877,469.54079361024964,408.89800570038705,429.13678988460754
50%,775.491101848349,783.2187125722244,633.4553059987237,792.3388046904121,779.8987761625731,773.4298695643727,764.3670028425404,707.9377116963235,704.6291721598969,629.489016966477,632.2036448211436,582.4390290070402,660.1162282343919,764.5580566757782,749.4781793678915,641.6837970802472,633.8508169430195,673.7382442188507,733.1814767175894,871.9739150382194,896.4738637332897,889.2869562644148,713.3600897073749,702.2752626505579,843.1693319522832,816.4665198066032,819.5456153243064,757.7242540513539,794.0172170683619,784.9212272528908,728.1463495482232,657.0695016640449,667.8707051387419,674.5313217491729,793.9061498753997,794.4108645971108,668.9108429689805,652.9516115330958,645.3744661192627,614.5365026108415,564.0319338055449,701.4665502029802,769.9776191507701,816.5109458341499,826.7354247685523,771.1278727868137,742.0516560163987,671.0008742066765,657.9665609333116,680.3805243448063,709.297189020794,710.7587496286177,680.7045742944522,575.0764615890376,584.9168143865461,617.8579563707002,672.3907781505565,639.7059128331765,624.3837954907282,618.9553013695036,664.7606616606565,687.3726535500332,682.2571516522892,642.1314559323071,666.3553628610339,708.8135719465572,835.6703566266985,947.3632723052416,871.728799480414,779.2873248470138,736.1152876287834,769.1907907023093,888.5773490350061,890.3651648371037,706.0210574883552,682.6001208703093,777.6856571704986,723.7200264265467,618.5107489905333,640.0696993379925,676.477057235949,729.0627465231297,693.3207089671608,668.582574963395,675.7374546808035,628.6677946314784,650.0764090790932,689.8532420643188,711.851994770642,726.2532443718677,769.5535249932753,727.6655904635377,680.6482629358483,667.096335248422,687.1315352686245,724.1475357098304,746.0608168400819,727.5893008296065,697.910930072339,665.9074275401749,717.843661670345,679.1507749919978,614.7209329675849,740.3288866226682,735.8848115534742,724.1343644885977,689.4968674540764,696.6865183479397,635.4161869932547,612.2478558418403,720.2269242271121,722.9723296452709,629.7559826407786,608.6974108741846,670.5188140862195,684.6894167913406,694.1210918818123,707.9122087610046,688.7158546736476,758.7984986932257,782.4664966291024,717.097929722641,706.1102868558928,647.1834236064234,687.7660149329195,684.3095568821495,673.5118865218259,661.2859441437685
75%,1268.0821960385424,1075.8007080503521,941.12713198196,1075.1686761262158,1084.5147937749578,1005.5710060319157,1015.47466246683,1045.1807065974854,909.7843866601283,919.3616518175488,899.5119630768343,831.3564047239615,982.5058231686394,1025.01107005002,987.2103905449674,935.881897222234,864.529957308232,906.371244851943,1053.6986894564056,1247.766714564614,1455.5086786005695,1224.3966371729723,1000.3601113557972,1043.6121535986806,1189.7083388022875,1166.2280758403936,1204.5253340321583,1010.8367730917398,1086.4333804856494,1077.0896433080225,984.007315720463,974.1410623254685,1000.9724793943718,958.2692422996072,1086.515494800241,1059.3800099883438,972.9136890404926,917.3137126199767,898.9777748427789,874.9940069967989,894.5331101747452,925.7102297259448,1077.3406584213608,1113.676655261999,1056.127258378305,1085.9207761571918,1084.5810189466572,967.9829085999539,878.5912205790471,969.135033578332,1031.365814947638,1027.0107151291122,934.4351025949164,819.8829579839346,806.2315368462114,847.9077464170243,915.2694064955642,929.3008600076789,936.5210261015802,882.670819156672,889.7283771082004,944.0195977435384,913.7600738983011,897.1379087068626,930.7627463700185,973.6859958282172,1148.8611574777233,1280.6594616922125,1236.3340010103623,1051.7165020696932,949.7338925927362,1039.5729971725614,1252.3663928043466,1255.5837932344637,1075.1917832845143,953.9812615919119,1021.9274315606563,1001.9045677678515,821.8876176099992,935.6341364526409,993.8940850810276,1085.915710288191,1046.8076020864387,1015.7400067184308,968.85079226194,914.1305973275747,937.5789301763657,955.4835890736003,953.4439143237004,1046.6990908052503,1111.4162840522717,1013.1994598141105,956.5061008383341,907.9606319763188,935.5231299816064,944.3888192699872,968.9771293983822,1009.6462877116644,1009.4577376356049,1016.4795885686547,1057.1595070829226,919.0657012405644,963.0471932199403,1002.9871844908513,1008.2150608124111,949.1256507919318,960.2855707977164,923.7788126250684,953.4711644600932,899.8751243563073,971.9365186899286,1017.45920029386,930.6945495486093,921.1901007944026,1016.8207854488076,1078.615672401455,971.9747475398234,923.926984467888,953.8789625447957,998.1984204957673,994.5674810828582,1018.2420806124132,964.9887320710186,970.1191025228698,1016.6618102826858,884.5306019052836,983.150572311893,896.8909224390334
max,3408.169955006676,2939.339811486019,3229.6703072486107,3597.873892411406,2632.1651819246927,2465.719308860141,2059.059934857293,1962.8278178634455,1917.904643614859,2183.32694411745,2350.052106145067,1971.492546960509,2079.403146884035,1900.9300971547395,2126.2633104259967,2063.365847354696,1733.322523098751,2339.7041247983425,3023.3618013709506,2829.721374973114,2343.259090358343,2112.0305686194447,2157.025491524262,1898.4516870470327,2314.1441626310675,2201.760340067012,2157.9453027349164,2597.9371152257186,2631.044772784679,1982.1004182327615,1972.8393162244756,2586.5262833987144,2201.01636028718,2454.776778000008,2280.5212793087744,2105.3775244782,3080.043505105565,3343.7233612510818,2359.685290106825,2097.475273019012,2362.087423493528,2229.9850830179653,1915.154432755279,2103.6184785430046,2582.317440709247,2369.9721489457825,2595.954557045126,2869.5917564457936,2419.03627901172,1936.9552149388455,1917.0043899420043,2365.7736237238064,1706.5728584955853,1968.8279635727424,1847.8304949972637,2070.8314971446407,1906.6090863218749,1977.714370447744,2257.1950373156697,1991.8694416713715,1901.9194287833168,2148.2086158944417,2275.591979233692,2083.524890968959,1622.9358926917232,1840.101870568503,2489.969894536268,2305.329322005965,2569.759479337788,2337.0854833203744,2822.391186696308,1893.4131486390115,2289.372039166752,2493.6788794232407,2488.3705734682558,2144.790455518148,2003.5957922201287,1963.5673566284693,2267.6180104891387,1962.791394820496,2158.5449620605345,2536.771994141282,2051.3911511145707,2332.6579774804877,2243.2383375305917,2314.289015643225,2077.825591893007,1871.8582698463567,2284.2166014053223,2146.749925361434,1888.7469291772904,1757.3195764815443,1840.172379681757,2173.573834894845,1989.8921030444824,2045.946996470988,2058.40357737212,1949.9818444427349,2032.7590551367791,2216.7802536660874,2477.946918300357,2330.783495511429,2040.9344875422792,2522.630297230662,2119.557870351863,1967.563615495232,2585.335000000602,2295.1830549756864,2587.3040175220312,2297.275918243463,2367.6252794041843,2182.60167242476,2124.4119242562224,2155.563377742187,2247.399511181047,1978.6481939764012,1842.4178889771567,2016.7585937474976,2280.085448718,2089.8166161815866,2583.576982445663,2382.8399773657284,2093.5777463817926,2523.6166104829103,2433.530425879859,2809.0743513424395,2327.140191343519,1674.523504098696
