,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,621.707843317963,618.4442108959192,610.1376344732842,756.3034273979706,759.7526362538408,675.4492201512684,608.7754830188602,604.063468179091,594.7477006366291,533.9635003602451,491.911991291013,516.9907429171529,523.2736117079737,510.25505863481686,533.937684861066,514.050021377915,512.8021904357533,540.4300142184668,603.1192841370959,711.0786500812693,741.9229544712615,684.0715857603168,601.9798698796484,618.0326472434884,689.5366481737464,660.9360913500844,637.8739340018847,642.3186520937631,649.5304903885109,604.6994293700885,570.9686048771027,558.800618866776,541.4830409617523,524.212656701307,570.369490143683,589.8538203151278,560.872347317296,532.7612991311597,539.1561632749018,539.9372404307976,503.73809229785144,516.5385962661499,573.3323574591308,624.1009251600567,665.8786256871056,656.3033095429942,645.1549243322529,616.6532918857962,610.8234882930797,579.4662883924393,569.1023286088811,607.4624198511519,587.5296510456194,505.01630709424734,490.6850011959148,529.8463325698021,530.9972148943892,531.5341236117933,535.5647522865554,560.0126969334931,542.2259653773185,562.0049425714725,570.2136161919677,541.4119478236967,531.6675715865804,564.5795697466094,647.1657569271727,708.0978625796402,684.7665577723862,592.2152415606298,539.4493644983902,599.9879792684426,709.9390056090432,733.8786554978846,635.4609316584599,598.2154956210409,614.747434711122,618.3187933020259,584.5582128450003,553.3509382602613,569.2020880984379,608.0647894591889,627.7871507046823,614.7142840454953,600.3205628653895,578.3709694571576,599.8867817109627,599.634105336314,577.4124992908726,591.0141480072291,590.0582742432647,603.8045644494885,582.6432535451447,556.6179611123464,576.755003114167,587.9894995721071,567.8209875226272,596.7646834631006,614.0723015415056,620.178694178676,630.010015428126,564.6813464087033,548.897128112932,609.7586982216307,612.9578873791086,597.3200220698233,574.4754773162986,535.123175757311,546.4712551202356,559.4103449527285,560.5492382141327,570.7323045484218,527.1340461809074,526.4298685821758,580.6885962494297,611.9755780373597,629.7728082053816,619.5293727958024,580.1401903725726,581.1225013828821,598.1397019403655,575.7061069771707,538.446657982495,571.3082252515504,577.2437967374426,525.2689492834788,523.4903355257334,513.8272215415448
std,464.3437509134784,345.65532262948403,389.7562822758035,343.5399364017901,334.9658391977837,302.0003303713183,292.38251159457604,300.8479799952136,298.3452110008209,311.5032438235038,281.30412588654445,289.21099552973044,303.43902082834126,264.6696370081822,255.4502032746006,272.339644484645,276.01410092219,298.24368874025487,333.7033187217374,396.43312923451435,399.4705401074638,320.9717564038935,287.82661760667486,319.38724265722675,320.20243752600186,368.3492435223643,338.7496299755362,351.4470180268328,371.9772651694808,339.4693705838563,271.61264613393064,315.06084913092803,323.63800501096,272.2043898095353,276.3516587513778,319.2258871230272,286.34623204621397,283.40217141043297,308.7497538988307,270.4349570751566,284.22726867213885,302.60111601428326,309.59209348871366,308.1887063720979,279.808405683378,315.1282400283942,318.81934129773373,358.61910630701567,334.19863528113956,294.58501449587214,287.64198019824124,308.9134809623452,312.9690534877261,299.6432955645821,269.48843070540124,282.62837810418745,282.8989910831127,280.83973137967746,321.9445951400132,297.4381509916718,303.59932182291914,288.5032471875555,292.72837912290197,280.9379775456741,239.35270972505623,296.386918092789,335.229723659606,345.23512651136866,332.4957580652815,301.27586550596425,279.4602302449854,303.84610045524283,374.8229469505242,384.81976254819074,371.0878411633953,306.71222813934787,324.70423266866766,303.831831780204,286.49668249956284,299.7640158199574,309.6539603516356,336.8479648491995,321.8505526365625,325.6107372133889,306.81309978524695,300.4346531673818,306.03495479941785,328.525981668208,300.5811898269993,305.3336104964062,312.5923006077892,258.5733261645807,275.6444917406775,275.86879295389537,291.0599251497911,320.077199719371,298.8135218448573,296.31557459944037,367.12791916217043,365.6729551645946,299.7242913912803,302.1980190609875,288.4093139209725,307.0969201868756,299.54942364762746,307.6473732494495,341.6378602281517,316.2155116247,301.5007594249172,320.8485278212904,321.32577239337814,303.65618893075776,288.4694875497681,270.0988332933651,318.3530065352805,322.37976729814136,291.9009592974678,288.5519065346655,292.5874972743641,286.21808953430497,313.48678738210157,302.03293488644107,290.24853401430187,339.5769716674778,349.96151609277325,312.99289907353597,295.4407107979924,268.4272401838507
min,1.5911703763602674,28.618682783979548,37.56231190270348,75.53742710433207,32.83631279521522,37.50993392699079,40.404678243712446,46.8963726490063,27.58241626916693,31.51488237899916,17.73053536211409,31.16507819520428,11.663741927371014,13.617586283946338,15.89664253292928,35.55666360319159,39.13159400937833,32.41033231026063,52.19444814088277,31.58539852860766,19.78047148702115,24.52392582957961,89.37889743980587,49.857585998849416,43.16205951830084,65.71053952293077,10.738608089036996,61.91155957583006,22.056932907917645,28.12941626449372,52.937782475118105,17.771493747905506,35.96374532089898,36.3103187456307,38.716318688103726,19.29156197393932,40.40937743978102,20.36478355774617,54.44800862491999,68.8119764225345,40.48132968878335,20.51572990237252,46.29473437528684,13.612679704939143,87.09989054320069,19.568613526983512,49.35387843086059,52.09492726237591,8.210279946939654,35.67117135321078,54.39946893745934,46.257676286727154,16.497785168386155,44.341529829789934,5.201485583655619,15.118770259279463,9.78573414918154,32.26364062827878,29.47284357878677,24.59187074378659,29.383657704442896,46.8150281555896,35.84351723389899,40.212390100997055,49.55415801089392,34.60236272478178,27.59242172364262,59.417715176211225,18.22821392424124,11.56139158466654,34.39281805695769,65.56094476337324,26.585501729456382,29.27169928125554,29.387404560471342,28.700151683001952,57.41833273544802,23.302457497641555,21.533586787713705,8.894763731958435,49.02470030420601,39.71138489860834,9.45191875892408,22.6516689072376,13.602995463811563,16.02401482688981,13.93009605236985,20.720150891619024,24.058016854267837,2.8139007461885277,13.003295579515044,19.03248223505853,14.984098866808283,64.75022126622417,32.28355040963622,12.409786825571857,29.804653129023304,37.02288650543075,49.68431952323725,20.307933871299973,22.10417303509038,17.0430499865158,42.90374496731735,10.788192619851904,55.185161064186296,35.71662510013324,18.98931351652571,26.518063881587462,25.59064277297565,26.75825401740105,27.064397129654115,43.58180184270117,7.357804706396917,25.58637703768783,30.84969663773176,25.067126303213094,47.234298485853365,69.91217597267705,78.40183198500014,49.98590641364212,29.748186396589865,17.93580433347121,9.648350658251536,4.778406218456757,44.51178521322541,15.253110320904849,28.46168345644896,25.278295845207744
25%,222.11043755156743,345.5858919660892,337.73654321875443,524.2251402267717,549.2742615157028,466.0697029004359,392.379603057473,368.3838014457558,390.9488283048345,300.18051470229955,298.1705332236867,314.4740513904315,303.09033898528025,292.7047846530926,369.5639629603609,312.13512312094934,290.11594492368084,333.7752951455092,370.6973796500108,397.4748650763808,441.66379964847016,469.54712554166264,378.16468591669695,374.9570424326546,460.2239488549708,342.95955076937616,377.20934775712067,357.10375300084706,394.8851357589897,334.5422155909854,375.11892975299,314.469193571814,306.1962174216404,307.2313864490565,363.9167234366106,349.1285721078175,342.7005785284901,330.51656357704763,326.51051418954887,336.0792993962329,314.1004797921046,289.35521897901015,317.64536661775213,405.6248385820951,478.7331521789524,422.4621603102379,402.34839957613656,322.3572017947438,359.86026916658454,350.90323955145743,339.62688351823385,385.2326104628454,340.4852760359988,279.08014713078063,263.4749180393831,333.33909335803287,338.07185351006865,312.27615172095483,280.2709350485836,339.1220085486264,283.2571988419428,358.53119711871557,351.6224934482584,322.24985454061823,361.45376579525225,351.46306381677243,408.7852133928019,444.35970345819527,465.763219228602,385.24592894045463,338.310009658245,365.19419700811375,432.78893223423336,452.0503921457374,333.98562835930466,359.46728470703533,359.95280600274293,386.82235382453234,382.0063356557843,303.7094435215231,326.46900611943465,356.04367696343957,390.38221434363356,364.0875819057651,390.8665000276952,360.36113327202315,376.0501351192391,355.2446505081966,360.39078029888526,371.74171034870164,360.319258935588,427.9910643416572,385.9805548795586,336.8538776789677,336.9380667351212,348.74428422658195,369.83513632994925,360.2396598254948,359.6165182352132,348.5306393250816,428.0111197469204,344.2959213296133,337.35366957624365,369.45090549997974,400.57496044074355,383.4238692132821,310.3495914023601,269.42529603367825,303.9505811256572,312.3894783206372,304.6160177025524,345.4013156231881,326.7521904323337,301.744357021882,342.2856445844551,346.0492154181084,408.56912251679046,375.1129625260753,353.60198270019714,368.0357536223298,352.0583923822275,353.58011507211563,293.40000972662557,337.80413672278803,323.8381265006991,308.41295325299967,287.4088528249836,344.6913455397402
50%,535.1305520975009,559.6281701834054,523.9602184130521,713.3963763986459,753.7524866260497,670.4274158780427,618.4551768380712,598.5775050499891,540.2176481406748,463.2561111898149,457.7679904031955,467.1026323404604,470.12797887936665,481.3978051814764,505.13052359646514,484.0839325808948,470.723935562016,486.26539599568105,544.3805528892541,661.972359865844,681.7317209862335,625.7773959963362,600.5653046179106,583.0020555510246,647.8361453731665,617.6955360267075,596.7899764711894,578.5537926907679,579.1989146167881,554.6699075652089,541.6845481580351,489.666926207779,457.4893295930552,498.4205000650429,552.2258812986609,539.688691911034,535.2964193402173,498.1836886923544,484.465130492289,523.5366035353181,441.2598553027895,457.9014985631261,518.5221572681107,614.341667974452,636.3760296285071,616.1485199842797,612.4408056071302,565.0305299247817,565.4823208722934,564.7198312467758,527.8943660572934,554.1224370814111,569.9193757165964,453.21629394790506,468.3944436445344,493.960537681901,501.06469687220033,518.569293754149,491.6280975980646,534.8026402459092,489.42975131397145,548.5533427398672,527.237273522015,492.827017840089,536.9685551447494,533.9435605417704,604.169563514672,697.3304400478056,644.1460826134555,550.1852303039412,511.4135725927428,575.7114954127741,701.9271888126349,675.1670048654369,565.2921039639773,573.9510710177325,568.644380661423,573.8596801110593,555.4935105924075,527.9574369374209,528.666141652922,568.348821408068,595.8420485840372,567.7404959467059,587.6354451871495,547.6456126905389,563.7395018159708,550.0514236575132,531.938937789573,565.2834061510215,569.5399896672462,584.0552519895755,593.1919122486917,562.5168740768465,551.393705605065,557.6955806937294,523.3261335931638,589.8914885367237,533.6472716588752,570.7517051814538,617.7379640266149,532.0515187229862,499.0752504991538,601.3421446982936,595.0781746250882,557.12420863781,519.7460120407058,491.3964325589576,537.6663089018273,495.4450341787468,525.2178807271898,516.4093572733434,479.36397923762974,509.68728490223015,548.9095225494673,593.1066266018605,620.1205999259171,603.9029087381334,546.1440896185152,547.0937076157117,552.9868028143868,520.9313936476249,519.5515989820162,490.82633674817794,491.4529041849549,490.7354174611309,458.0274858926467,449.1291799023661
75%,905.0155029668936,843.6123188807977,766.300153987275,976.5070862562584,950.2306858541481,869.1884811761399,782.8846020893593,786.2027940963374,772.4660773219622,725.3394474394753,630.6756458883544,669.2645080224484,718.8182994753639,693.6485887787466,695.6098507616338,671.6326766765703,705.1045192438223,742.7686067608216,741.3933271901121,958.4121498360605,1030.7979494931374,914.6903559944897,794.0675624507173,846.6990211895366,914.1982190621084,939.0139340001284,855.5622551369713,851.0901277633102,817.320103750219,811.5206983736582,725.4114206895481,758.6550867399362,721.6127853766639,708.7024546678392,749.929734952442,771.4057926350183,776.2544699107998,675.5633463078225,731.170110528531,689.8263143932265,663.7991829334921,698.1057747898813,787.6504945895988,819.9069080295034,840.4303604450749,891.0270550200869,859.8901890632103,833.1104620275255,776.2283571537903,771.9948306063911,777.268940768317,814.521572579088,815.5364778438072,662.3422388733318,679.5661650393287,695.1234295281902,678.5364176084989,715.7799658750604,745.4773602994082,750.6790664118762,776.0751649489368,704.1775496849806,741.9961049767921,730.4780146034736,687.1274464312091,759.5539067921645,850.6877660232585,894.0975906143186,888.0821152451149,766.5649265573983,689.8548212837617,748.2121496256389,951.0709957550584,972.7190712741265,897.7866602459849,831.6167654459841,874.4768289322576,851.988597068095,771.5058178643075,744.3968493036662,754.7665351255249,789.4821542532027,825.6389197852881,812.5997239766768,782.3380557977139,740.5402900957447,797.3528644571029,794.2485469343869,759.6616221802874,794.334664052484,797.943168453954,791.8274149482188,770.425647509506,753.1257149087936,790.3177878137683,768.9661753561493,750.4472246273488,776.8965666000868,789.5550663063407,809.8240636733221,843.5455276952027,761.9407168018565,715.7411294999476,825.2580320748245,809.261294632591,764.1053725998762,803.9733090584069,766.091602433939,716.1841424146331,791.8280092253981,732.6946325623139,774.4959099904406,702.0240547708966,673.9810040735377,770.0499668279904,842.5624092957842,825.4584503131446,823.7130959194312,754.2469343627326,742.6414393647899,810.7766575040912,756.344651723359,733.6851549443354,720.4183029971422,783.4949075638203,689.969246777219,738.7374623298358,681.5945455493967
max,2099.0523252965354,1860.7065535713955,2196.6687076962794,2527.755228268343,1936.8946729895556,1819.7797579602195,1634.7715114724228,1874.9978039275568,1457.9202333817118,1452.2376724665078,1823.775490374755,1900.9807014892851,1429.6263932622098,1653.6473759200337,1663.527915783519,1533.4924729677514,1320.219925511819,1579.4908275962491,2186.883498084261,2023.603479887824,1947.0560334114944,1689.0604495837213,1686.2871726960802,1715.5326767599024,1723.495010137088,1758.74042232334,1733.2665603998216,1662.4357179902502,1936.0338158199663,1754.854561925418,1626.86063821013,1680.7800165383353,1841.36955361203,1431.3489378161107,1746.5032764529783,1631.0965296497884,2154.9333720082927,2112.642530904854,1663.673028422552,1420.3169432775803,1716.8037408954383,1934.8334532703905,1579.1442659048855,1654.4445642867663,1876.2429250797152,1617.605896866179,1892.0778568466155,1764.882046301453,1747.452286846782,1657.3567724846794,1392.848184962808,1775.6845262385386,1585.5828280869976,1661.41778303768,1493.518251078572,1684.2036109846697,1494.518753708082,1598.1829278654886,2040.3446950603457,1757.0424398021614,1986.0580439833093,1969.629477258192,1774.006897212823,1663.8426752879834,1313.8563865892968,1526.1892425576386,1730.2628193298438,1918.4763711593807,1925.01145916078,1871.567989195783,2402.964792111696,1738.6568062324843,1792.774484313028,2185.251807139441,1855.608823241672,1666.4930800331392,1445.7419251629883,1488.8493891838498,1578.4426253116144,1510.6011189607368,1625.074834890767,1833.243956943364,1713.730642545388,1970.4210518156149,1806.5205391464049,2185.983564803744,2292.1371963226807,1751.3806440267574,1647.665158502993,1696.160043610665,1562.7535115380424,1374.8269278679843,1424.6845849154404,1611.5018620312312,1730.6893569629742,1824.171084678392,1778.3409001608572,1517.800167704154,1702.624502082764,1856.803503278628,1529.1340305637957,1680.2084682234583,1449.4752857558772,1826.8723048978636,1802.521606406152,1581.128865308846,1956.8111413799663,1948.518177339403,1977.4767581244555,1838.589051239536,1770.388928764071,1545.1145607758438,1690.1878287274524,1329.6703711187824,1544.9912561521414,1692.562111750368,1534.8476949067087,1476.0538480876533,1639.651907982398,1601.6750267302396,1808.231342337079,1744.9685084230457,1431.0695185910004,1679.9122449925596,1931.670307391,1854.9631767386736,1750.8635419598468,1303.4708390204028
