description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,method-encoding,task
SVC,0.990836197021764,0.9908249159672275,0.990872922066178,0.990836197021764,0.7400763034820557,0.2782272815704346,0.9933657655912168,0.9933697110384226,0.9933971543155456,0.9933697110384226,NLP_prottrans_seqvec,hydrophobins
KNN,0.9845360824742267,0.9845185355036276,0.9845979163885276,0.9845360824742267,0.0305705547332763,0.7102540493011474,0.9854936414525972,0.985513332629897,0.9855521775270316,0.985513332629897,NLP_prottrans_seqvec,hydrophobins
GausianNB,0.9381443298969072,0.940295952872258,0.9457829188144062,0.9381443298969072,0.0636461734771728,0.0360366821289062,0.9368419180474624,0.9332177688005908,0.9454382685043085,0.9332177688005908,NLP_prottrans_seqvec,hydrophobins
DT,0.95475372279496,0.9546754957143062,0.954637283553673,0.95475372279496,3.4327342033386232,0.0238238334655761,0.9530319862631832,0.9531020032860524,0.9532544255550974,0.9531020032860524,NLP_prottrans_seqvec,hydrophobins
bagging,0.9736540664375716,0.973573112834388,0.9736243505355648,0.9736540664375716,5.009112930297851,0.1360266208648681,0.9737815153877348,0.9739732593720324,0.973900860718727,0.9739732593720324,NLP_prottrans_seqvec,hydrophobins
RF,0.9845360824742267,0.984532196213422,0.9846158901845904,0.9845360824742267,1.794484567642212,0.2281455516815185,0.9856611773439063,0.9857581284575148,0.9858774747973283,0.9857581284575148,NLP_prottrans_seqvec,hydrophobins
Adaboost,0.9713631156930126,0.9712855218210418,0.9718008906803498,0.9713631156930126,19.73931922912597,0.0783074855804443,0.9671748007572624,0.9675889721288496,0.9677078796078932,0.9675889721288496,NLP_prottrans_seqvec,hydrophobins
GradientBoostingClassifier,0.9868270332187858,0.9868201992515984,0.9868224056400212,0.9868270332187858,191.31579608917235,0.0216950893402099,0.989184398456163,0.989196726006542,0.9893205809369914,0.989196726006542,NLP_prottrans_seqvec,hydrophobins
SVC,0.8447880870561283,0.8416183222099116,0.8522886296220765,0.8447880870561283,6.314427042007447,0.952007532119751,0.8464581120415515,0.850720238955533,0.8575319509140081,0.850720238955533,Property_Group_2,hydrophobins
KNN,0.7720504009163803,0.7767539362560748,0.7889004299613985,0.7720504009163803,0.0205582380294799,0.0698372840881347,0.7874766351489687,0.7792714505949799,0.8124869220360094,0.7792714505949799,Property_Group_2,hydrophobins
GausianNB,0.4163802978235968,0.260936982876122,0.7280529106294432,0.4163802978235968,0.059575867652893,0.0148553133010864,0.2411260570859183,0.3994616274028039,0.2187165305825659,0.3994616274028039,Property_Group_2,hydrophobins
DT,0.8178694158075601,0.8173561456118636,0.8175594838486667,0.8178694158075601,0.3718823671340942,0.0128241062164306,0.8199637082096519,0.8197776653659007,0.820820087346711,0.8197776653659007,Property_Group_2,hydrophobins
bagging,0.8699885452462772,0.8697310685182122,0.8737177514996569,0.8699885452462772,0.9874369382858276,0.1372091054916381,0.8608770237866196,0.861525629907983,0.8650809955880225,0.861525629907983,Property_Group_2,hydrophobins
RF,0.8837342497136311,0.8832038477040083,0.8876791843621272,0.8837342497136311,0.5689251899719239,0.0283181190490722,0.8789767419257026,0.8804282892518186,0.8844133738238531,0.8804282892518186,Property_Group_2,hydrophobins
Adaboost,0.7703321878579611,0.7692633149319904,0.7721142952662898,0.7703321878579611,2.2207284688949587,0.0346298694610595,0.7765892203781609,0.778044153779448,0.7785224584904478,0.778044153779448,Property_Group_2,hydrophobins
GradientBoostingClassifier,0.8997709049255441,0.8994076709643686,0.9014974004381012,0.8997709049255441,26.78812618255615,0.0155863285064697,0.8892010945919843,0.8902508792214675,0.8919358952758009,0.8902508792214675,Property_Group_2,hydrophobins
SVC,0.8946162657502864,0.8943498250239108,0.8974957820834716,0.8946162657502864,3.629222226142884,0.4012768745422363,0.8822635920646951,0.8833736811677989,0.8875900172108354,0.8833736811677989,FFT_Group_7,hydrophobins
