,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,2393.585766759612,2237.76389633061,1775.2129891589102,1648.2383318238615,1622.5009679847037,1713.3641871342343,1838.195466458529,1754.6164066707208,1636.9124554368398,1652.3368035785354,1694.2698738910158,1627.6243309409476,1538.1666868854059,1521.3536928897774,1571.1900628279284,1583.8421158548729,1591.8834935907805,1705.1608910700688,1756.3941597102817,1897.458693604037,2043.270828090429,1982.5528640978523,1727.0531367507203,1618.47718564696,2073.5226114397487,2330.7419975265716,2282.370746183399,2101.3830855658025,1920.7380276289432,1790.2923893652762,1704.3665545836282,1732.0780125637093,1752.8342471567385,1681.8690057540978,1578.8560879267518,1642.3704549522274,1758.0073284853645,1785.0553480357953,1670.88789641629,1635.9093615553443,1644.7414952002705,1554.7689996457984,1593.920788245469,1772.1174719504918,1773.844617774349,1725.970226394919,1654.4978069262443,1667.490030494983,1698.8218944270204,1659.1847577564517,1676.6556533198213,1876.9390618104846,1946.8908760527831,1838.2193355930851,1724.0786753868176,1683.5194592752823,1662.5791823712818,1518.0010559410841,1556.9432708127633,1713.6816945098813,1732.1719822698499,1639.720433406164,1642.695257574877,1726.17741207088,1789.6478976832675,1673.078286304425,1801.3588712754308,1936.9254072909785,1834.2665284785733,1591.1526031322912,1520.085432295751,1694.2634950770625,1746.776922868707,1577.0427819061354,1571.8163691348232,1591.6383293857652,1729.0251444281278,1754.8427840297386,1800.1293097198027,1987.2830661443363,2059.9418017161147,1775.4817837515316,1568.626667963292,1761.0371657594771,1878.6652199199993,1994.4348145726933,2014.9355350839312,2026.4161002480616,1960.340604489635,1747.2647674416964,1661.9660494854709,1705.1819930749834,1738.0515491289511,1692.2029554338199,1624.6302656082728,1505.5423441474802,1592.9537583948238,1809.2601991781717,1857.5607480586677,1778.3005681441834,1702.954269096384,1666.7824699801745,1659.232867147012,1703.8687278620837,1834.9769640612074,1886.2792939509638,1841.4744524080143,1809.297009349848,1678.5182481662662,1540.3589129514828,1487.5626666645296,1585.1768165627377,1651.8924091545634,1685.551829780555,1802.2296860270044,1836.6890253378908,1690.21997122981,1589.9635655588147,1613.599345090172,1626.376829185623,1576.6214212954194,1604.7873428179746,1726.3940966106131,1690.804591123847,1701.8197755381454,1737.9093235707958,1675.618636803074,1471.896535730522
std,1602.4812876950668,1169.0003615857709,900.3244655419082,869.5855821806849,933.2545385253567,977.5306143097182,999.5850355138124,951.4117432898777,869.1619535217588,843.4820618926781,846.9122410103569,863.4730962640028,798.7055349823613,806.6058894960719,853.1619509384975,824.3099497681322,892.2470582496474,897.8370709539232,971.6195001353311,1046.9015639329257,1087.3286605768074,975.1380319135834,844.8988156797221,992.6797701735663,1084.1547316908332,1273.8458800012108,1124.2493825866381,1004.3118344531487,992.5555169395907,849.2897009146153,909.1601030946763,992.2554254701162,975.1696150803365,886.5199740776258,889.069912389628,854.3987407021943,863.069086353987,887.2712945020198,867.9222746681468,914.1494341010016,864.0197423789117,826.4914433556537,866.0245026043524,818.3730937552515,856.3369314693792,780.4222827684738,870.7004701023109,806.7620357300934,800.9112182864582,840.69794747829,883.8544544083666,1026.3691461014207,1068.4923688528145,864.8401836977243,870.8028083598351,901.2634056607977,763.1082324342144,852.8676822397513,889.6246888457385,886.6299024019551,845.7541567488773,813.0284758543249,788.8513888977858,927.6178711236804,872.3278996776895,972.1056525343166,1001.711501504208,899.3790604045533,816.4890100358582,788.6246754135682,780.1634248188153,835.650444337415,847.3127575186403,860.425140673255,759.2909609119641,897.3056426036019,845.7779786935756,925.2030891908934,908.1698182948717,1037.0954060208578,1085.6483353592957,857.0584902455946,816.741766156542,909.6404582740925,996.6472148713754,939.7283150284064,1039.964618726785,1001.7976533731371,931.2013644506173,923.4731960574344,762.8231052162874,841.8809706666534,891.0454433580315,902.0300041672313,877.0879105032952,890.7415619454353,829.9373637233037,957.8882997393555,986.6303980640891,897.5186108624912,851.9697392794744,843.7413339054308,954.7266826298738,1077.44787834483,941.7668034551951,915.8302727341559,1020.9802108778636,895.3290052623328,906.8843185424528,832.0376099871634,827.1317684833499,886.5966170681821,875.7190312276022,872.5509244971431,902.5293683662244,923.7258063116652,894.9303874404602,804.9888234934775,790.9730885869328,797.815523421844,776.8205218391224,813.7171653646354,763.2781023355058,819.5138251051634,811.3622454363452,859.2875687457067,829.229922127531,790.7080558190866
min,3.590612284421184,150.27464757779276,105.91287973514324,64.90582504813875,94.34117013091864,66.9287358841522,95.38408270590703,66.3165065955632,116.66452376404068,73.57512036366838,76.19492344604053,79.29535734556305,67.40091224917691,56.596064775550936,47.11742243870917,65.01681466299296,46.56302076018701,135.38505952438337,116.35623138381106,156.28170550567688,143.1900184047145,67.69197562735718,162.6343951615733,25.993088992352156,31.983830870163494,137.61626352283773,47.64252066089781,128.35111874770135,81.89267214671766,52.84299607002543,62.2402203436526,108.01038333057848,90.49244068545514,98.91606970061778,6.002807341246426,92.87213639840628,30.234273814761924,156.83925697985438,100.43883423997522,124.75770447480456,52.97376606082126,26.784258868398613,63.16338331597161,167.53959983693292,132.02989781668174,166.35135815625046,13.692481410885456,100.42731087245664,121.9283970403988,41.22675919212664,36.59887560983646,174.28380791610468,117.95364037485147,50.72432612302085,97.66363070152232,48.98266150991296,147.10474991351526,70.62293669990692,73.6969910030094,79.58679118200078,110.59030505928008,57.035346799047694,37.46814983815472,96.26909693036164,67.45221136322286,53.46573817425363,29.504172045129337,219.0149934701412,109.49117239303492,7.315648810694718,150.31332574024293,82.3040663277942,42.4327445762205,68.14316246555144,37.517422056056674,22.865492071409072,171.61335077743215,65.22854236763392,66.60087637938871,12.19817901567917,95.7875283755446,141.03112854962592,44.57862854896507,34.006121506767464,46.19370007369988,210.03651120784576,109.67667597834834,112.60892190329076,33.042931264987416,21.124116466017604,33.38584836423374,72.03699733816008,139.09474358694263,73.3391326054227,79.81785446172667,106.05693105770376,53.75195944082118,114.57633270779829,49.02439817958903,106.50389287960073,25.843663059483674,167.0812429136911,66.90564502799305,120.25987436647392,99.65999619504056,125.11889437536632,73.29439511953925,117.51247823417616,60.30970744684096,148.6562432534174,81.02748094723233,100.53666630261571,70.22639168552412,79.9144066075516,108.4581609685717,101.33429309309705,131.52058084086963,84.55552656168726,168.33861527696885,114.9812233688126,18.878844473671546,92.24288888091942,112.1945420425261,138.91990896757255,33.8109005709376,57.93153630288485,70.22893565176052,107.05663297819078
25%,1071.578507439151,1286.6330231397062,1146.7588847103143,1110.2602230073119,1015.8582865204884,983.1976355454236,1137.7411351898745,1052.0041327132863,978.88412671745,1047.984918017181,1026.14651848218,956.0833991392237,903.8211147915192,895.2338867852609,851.8034244632015,980.0020451523571,866.883095576085,994.1241007121525,1118.6599265140612,1214.0281306771712,1228.1784094790105,1250.77220225569,1109.5803425358902,824.8964309514452,1276.153622551461,1373.3210405047632,1405.3673974288483,1313.1279246028207,1143.088766833122,1224.617158984488,962.6460440981652,936.1777627041571,959.4247936663699,1002.7288255990337,877.8136156894122,1023.4471027940397,1040.8402635285174,1183.9755952544158,1071.6201063815895,924.9870832913261,1028.2675782014194,923.8365343421999,935.1299176506858,1128.3160119372656,1139.8300747624635,1192.7270680548406,949.5087108651834,1027.1332461677234,1132.9041962793258,1077.8748475961936,1001.3689028539886,1060.5850438216794,1138.9833066025708,1167.1408178899974,1077.6515633653967,950.1972435384635,1081.0990827201138,868.7065064484038,832.0381000757457,1046.7903813425596,1106.312365915634,1028.4645679267715,1045.6090625857944,1029.7705296970696,1123.5799092519542,886.2775008463688,1048.4385985481547,1227.906470453991,1198.859538064357,1046.4209831950232,929.6992815916258,1075.1087824199926,1180.8772033131395,974.2525758910776,1077.0999984473399,897.8555809753998,1132.3988087933506,1122.2320356529049,1228.845896930243,1226.4375420854426,1260.2924351527954,1107.6648027517754,968.7114363375455,1059.3128604084077,1108.8408453020563,1339.028404840333,1222.4798969135863,1252.1429477907373,1258.3736965842568,1040.6873777220792,1129.1981136650547,1075.8494339129709,1091.08902485003,1022.1788665873878,954.1803911774872,760.4794684573559,995.781638155705,1020.9559621339674,1102.427481434994,1125.126864957013,1138.2796329965472,1002.2758374768256,925.4483660527056,997.4162652954925,1107.640763612918,1208.254559557024,1019.3845279767819,1058.4697958870286,949.2750140087962,854.3611731715425,876.1490626493948,896.3557690855713,970.4069122312928,1067.878895874838,1203.6729500049,1158.255597028498,1019.9858009728989,982.8730743845979,1026.4131557905803,1069.8449660272645,1016.5603002888818,943.3251560353231,1151.8262220848594,1055.9185521878676,1059.2752471271826,1053.5457700430966,981.0957214497813,829.0282479554882
50%,2149.5427305362787,2160.371428426284,1732.9868568701108,1528.3720671732433,1417.1575833522709,1583.147496723794,1639.5873290016066,1606.8387322479757,1513.5583171177243,1490.70113248247,1715.0672412065162,1489.6194138465885,1494.3443568314108,1392.4760477536022,1505.7871218398036,1518.8442599947698,1539.4388055943784,1660.7459422142908,1658.3118617594473,1646.6063056159746,1907.9006780349737,1908.640178187416,1608.5249474264872,1450.6506161443556,1859.231170840173,2068.994383206625,2162.7855270563973,1930.3053931039312,1834.3514549443948,1742.452997925671,1583.2950073310692,1622.074180429974,1680.5358556057136,1537.993764343311,1404.095515560389,1543.2438126628658,1760.3242869608682,1733.2137428302892,1567.629096855359,1505.6585902594302,1520.228005001616,1489.7826496633431,1526.5479182583178,1693.4378748940765,1664.5930415366852,1672.0859685883063,1610.7674959292997,1583.4101336198717,1686.0948216605927,1582.9582331590746,1570.3655799005528,1732.5719139485686,1822.8586176907725,1886.2543259049728,1669.5230052925128,1513.9396809122752,1518.7530075474092,1309.7151388542904,1366.7476023014883,1725.4148367131002,1665.470799988258,1571.323961919105,1603.178931861327,1610.0488565744404,1779.479112281687,1594.3136985007084,1655.9218232375042,1848.7180140399053,1882.3995653350305,1498.6617120241938,1459.456985111137,1596.1978315070548,1662.2894085895769,1485.019520857808,1468.4211104697094,1438.6291263456503,1637.812628485742,1688.3040618378914,1709.850705172516,1741.8359383664151,1798.373873993768,1634.4192661254258,1421.50429147735,1703.1310422476358,1715.908504850124,1954.337313644626,2021.4521863741072,1955.097774479824,1995.908798909369,1688.141180753598,1591.1056705592557,1599.632053839838,1656.9733323242708,1640.0595330384551,1498.320204548733,1424.9798982279065,1475.691494232047,1733.231785396022,1729.41357323612,1636.1864982757193,1519.1684374473534,1503.7132717894626,1607.208166733947,1507.85764577932,1693.544114421664,1680.342964348593,1713.390116074529,1716.828505130395,1484.5589008558609,1437.9454078501185,1357.0127935708508,1519.7576724688954,1561.2459974410576,1554.9384137848083,1675.1716648973772,1677.3543628876075,1615.6524006274144,1448.8983604922423,1419.2025236171223,1467.602675036199,1436.808857036517,1561.6455431662712,1627.5853450455163,1617.1921714818,1653.888787932233,1738.0797067209116,1618.7844080749353,1406.7982431992873
75%,3501.560377811613,2941.314682092071,2275.6088052401315,2064.6457026130943,2168.284919817208,2185.9225697650845,2545.0747111185337,2346.7015953383498,2201.2595999671726,2249.002400251459,2312.66274381533,2084.231391652304,2120.004709477714,2112.162523634366,2075.4955741314666,2082.123098332496,2183.0362337224587,2280.6603521122006,2249.807161180012,2512.7541494955462,2715.1754880856606,2583.3491542963466,2244.245327450671,2222.2613946753163,2797.078418278228,3036.9445341049573,3009.4211965171744,2763.9299204296485,2635.589748297703,2293.1728410689348,2360.447181552306,2311.9009433904566,2480.3690666019793,2295.3397165117867,2111.048373433254,2186.696838320521,2346.45434895496,2288.5337820260092,2191.573098687448,2197.2507235013563,2122.2277422243205,2018.2618809012179,2176.9307709303457,2225.7226710758114,2309.5066673411116,2233.416795491299,2223.98320005822,2234.6424751964987,2158.4704582798627,2149.7128992129383,2191.2481244765404,2530.98089277103,2538.722852990322,2360.256083733398,2271.1123683611377,2308.4538708012674,2155.4327658658904,2109.420213349464,2087.139966304898,2236.5536860180646,2363.175792690541,2107.720125343897,2082.395086286684,2302.0533654215224,2383.126776898534,2191.181544002653,2385.5206187681315,2552.451195790255,2326.578904613827,2063.858287432693,1931.9943462797155,2208.5387249949845,2401.714157966572,2070.09638864247,2011.0372895654286,2098.793209134953,2240.552530721332,2260.9152561784554,2187.236924458929,2865.7602754452014,2779.557369416583,2348.050466582895,1991.4890054844996,2288.859756824865,2599.7482652380377,2632.647613684059,2728.0336255237135,2725.376146244148,2635.2384128410536,2281.0806482066414,2091.006987831738,2298.7818263823383,2358.472676249405,2302.6439889418193,2148.487585809573,2018.0362838186238,2034.3477228050297,2520.7422460471344,2469.0198732873687,2385.1281140351516,2227.7100274897866,2388.13048999393,2126.4523777487993,2129.4738272620516,2493.4901538233007,2574.165599825751,2561.932277928297,2473.407558322726,2320.340486471546,2016.7648659921697,2025.755118762096,2024.8155053237238,2164.93786682011,2279.6527750113178,2282.8198853759077,2360.219813321199,2318.8296786358924,2103.4482339832266,2156.316738334828,2150.5415658645575,2067.542467813031,2167.4822836785443,2265.5699006823625,2306.5754572105197,2254.739407795306,2383.644332935497,2303.1232646191547,1942.9624263484543
max,6952.028026294458,5733.337742492298,7251.082135199442,8351.223940105861,7175.313313127624,5545.7207103010205,4983.416870092548,5502.746793583063,4192.837553981298,4256.005229093593,4537.599770688696,4208.52936735947,4309.7272358578775,4561.889107180807,4657.410351856974,4838.719554018381,4746.343182551626,5040.142024638269,5720.464149916668,6427.066126911067,5965.583031914001,4705.349533422665,4504.205968764793,5103.414028318987,4892.7710134133,7052.234221251977,5635.701082136007,5193.807374459516,5167.362815406333,4557.483289991768,5354.913184059643,5025.753762418722,4716.088005813567,5193.182676605719,4565.700761782855,4518.519323645913,5368.320977355523,4969.861641401287,4628.203766066018,4392.156299552959,4855.255168985495,4402.543350918615,4525.956110146123,4421.091851863029,5712.702185268884,4720.2890738961605,4457.645070434019,4232.7726011365785,4367.186633243568,4268.689105648443,5177.150962251453,5135.119855515034,5267.321132952698,5242.841349516784,5264.9971343947145,4918.232882572207,4456.336243657184,4299.239563540674,4611.603375144987,4625.599110460698,4592.122361602495,4444.484135228419,4744.683729915045,5077.7884027834425,4816.3254542882,4744.798591667146,4702.1200152896245,5422.768438232993,4327.107292253899,4258.871506668351,4500.314238192822,4633.646579130024,4430.345612902172,4573.916336660581,4982.06423377158,5273.38957601652,5341.9397080362605,4887.852556361396,5556.765348587038,5242.879536811207,4737.82827749119,4713.198436858309,4203.908951779454,4943.869792554041,4539.747936250253,5615.10279082686,4808.208349420361,4938.412198914143,4912.774644109199,5975.160668447985,3846.647347193572,4769.404305724949,4139.055710092878,4685.552683701477,5197.386563565269,4957.593824508313,4361.509195402344,4901.838426040973,4279.7334836211485,5022.972327200029,4171.27837070321,3998.9767045967214,5672.9343190326335,6100.722174460752,5180.977622047691,5546.485072488569,4836.273253474462,4096.7947218422505,5171.906517164477,4612.488426795616,4438.365422749916,4431.805722491935,4657.235607286872,5118.077250331784,6058.77186152292,4671.867715748489,4503.949940009965,4700.530299193772,4055.2849196187512,4280.277456520699,3793.162392842618,4156.5102852572045,4898.696916567718,4432.434215547499,4463.985903616119,4790.407407116202,4113.968361710255,4059.533112884684
