,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,443.2028277865912,427.4036482730767,390.418240133409,444.35979545829764,442.7773513762642,420.6693452749315,408.7547232258351,398.1324000273454,404.40640797720283,385.3450073383544,343.7376788310225,332.89091725645704,383.325618275791,419.66256642373264,406.19927768298015,365.6662049601908,350.0325341097647,368.8731891611876,391.61306271325816,456.70453956486784,477.8298767175204,457.34963067204126,395.52724824364867,385.6881230407688,440.3799605503635,440.2525368309011,453.0592329070682,474.8441924705182,484.98285838823176,443.5912179535007,388.7225212917915,380.80586432839215,377.14254227170284,384.8808359700671,420.0465963428293,421.67237777415346,378.8984085163061,363.0805990921707,366.5002087102101,360.06866908073596,342.37005110076507,361.871885924003,404.0495653818695,446.8234351083532,456.81601025131107,441.1167796286639,436.29112322653583,422.62970136939566,402.7807827155497,387.5883689513768,390.4531157009028,391.2154094944245,351.8420143451102,315.4605551710486,333.17065891677936,361.3391950363569,365.19434481913254,366.1200410469572,367.4034679480304,372.5197202272188,378.54420404560466,387.4555422269406,388.58478449975075,374.73802348833254,382.7171899640163,390.5681122293191,433.6155134107397,500.32336067889025,496.0659297427489,446.66110238843385,420.0428404052253,445.87548743117566,496.51030054171275,496.2192690771957,415.33603491415886,400.68440484338015,409.7948805838597,388.1630807668605,358.43069011469504,363.9524217834275,385.3705866834645,421.38313492209573,433.5402723721277,413.6613167067981,400.95694266144767,369.1866705654537,370.3616959019266,388.3217391454489,389.3935127448965,411.6703891945303,411.91478491989915,389.1435392668647,380.8456038895633,373.49257721580653,374.49102758372635,394.1831106667781,404.7191536991902,403.7791360824716,410.6614125712043,410.0443926417038,419.2380287439456,397.3850915064862,383.340375490415,404.6587638536427,399.29057892225086,395.0548617235478,383.8179658543443,389.71108451961163,385.85310750768235,382.78131155715386,390.6440446203448,398.6905989968568,372.68052491708687,362.72654536223246,416.23485559032684,425.06737744238274,402.31189042311195,401.2500495931426,405.57797864524497,411.2353152456209,420.79884493522303,417.40328752360944,377.52727511598977,386.947816301132,385.22535299200433,372.2831973145125,376.0683036151769,360.4801479555419
std,315.41931346703643,237.25585553811626,245.75596752881498,232.54899116016514,221.30717388667938,202.3572449575584,199.94213472684865,204.7282827966306,191.0721760478257,210.779640014527,197.02802903775444,193.83744186852525,214.48618009012372,197.20288656746297,192.76027338314685,192.29414391800557,179.5415553924672,190.39271471852953,236.86776766317493,249.46924238716423,252.70433634999517,217.64708657627764,199.48540419381774,222.37524229737383,211.37300096192342,229.32868195532964,240.20578440376386,277.1963272879585,275.4141235178003,229.97277683504186,199.04288694931546,209.76085590802407,204.66038995320136,199.93703611162138,210.76660773909026,195.539889334962,205.53095568622734,208.02852613367327,198.34229623461846,193.03324579985426,197.29715999901646,186.22867589528724,205.63320619890393,196.59509865444667,209.43845963858422,236.21071704887396,231.31115037915472,243.0820282609235,233.05118641097377,206.76584787150878,212.39589409255206,200.83682481431075,171.46186355044338,177.5342808037013,176.20970317607706,184.27939266077485,192.33619945554804,206.99850112862165,215.40122049515534,195.31551190306024,198.29904228541346,205.44246566397476,193.11886616285716,203.27924624359434,175.98437886723707,183.57398379976064,211.46442496953435,230.77904814000064,240.55545042959733,203.50343264938724,181.80892556874338,203.5850744851084,250.7454398286881,246.2344227129411,244.61277195303026,200.52981923175946,213.90918232779802,200.32286191900707,195.56426885123042,200.18357287422683,218.38560339066888,238.6944214469668,223.1987113824682,222.76395925812596,217.4214504949145,201.2117908849329,203.5019620826338,224.58372028118086,203.03810985798788,212.01870667995408,219.09252600072864,192.05056503802203,193.48936611681216,187.81805868958975,190.065480113159,207.71268854424886,202.81491325844468,200.9140448307543,222.91934590457808,261.29164899452445,226.167625175162,196.41096170687882,188.1331636735606,198.37053821518293,205.55884395142448,194.50850958449982,217.91759441036263,199.41708050388397,206.28795588241525,206.84286457638325,211.37067918763879,204.20932033901852,187.77675917710334,203.2224920562279,231.7585726668621,223.62176024884894,189.8308633926867,191.64127512580112,214.34458498972887,212.31988662215326,214.12247120880662,204.7420805104865,206.71946298009144,215.70372211204992,224.44048716695212,202.34175240220023,194.27587031918736,183.9091560152671
min,0.1466699288145463,20.430498454848145,12.703263657084577,30.917648473597776,11.6311152489243,18.39418884361568,15.774401504765253,16.53544970683168,19.70828263535694,19.70770790606076,14.164868805933338,35.34718919368757,22.38769508595972,32.848093250134205,18.961173372633844,25.06023713031556,16.567995889013627,7.214176341193436,16.818692525249006,76.49446130812919,12.298971113322436,14.347606433877605,33.416608888690384,19.67644085600633,40.61560321436936,13.492709442240448,16.24074508099172,19.279444476365583,45.82399116680711,24.63191925440642,26.133997114109143,4.836279783086492,12.295534359595091,5.387023421557172,8.49728000243275,28.946483186318652,7.148805933697059,18.55452338709026,39.202663635238885,3.25460092959299,20.55596921742921,14.611845754129655,22.710858068946777,65.34911136100285,48.49667892368748,16.619073369027813,23.544778183247125,21.56796930824512,3.8604906735171953,13.5235062530482,12.48714757070457,31.397854648880404,19.339704818709485,16.301381495555937,34.788376539768656,22.355949354374225,22.970530449154868,11.062309598368657,8.591600501507903,25.227567989037848,8.37432860790328,9.55767314564878,11.747990899084291,8.197162800490135,19.583637921953457,27.178688118189672,34.40342167387144,23.532566262661707,31.796131550670093,25.926104263159623,15.70011717525973,7.835071207476137,25.840651668269945,21.451200583715057,20.115069964697508,21.7084540259003,25.94453102259745,6.926436237297852,6.876016963582722,19.04897196126096,15.187877812150436,38.97490188978684,16.915132862316696,33.22548972442348,20.27088822528723,8.703776108886343,10.19325481134074,11.9908408948302,16.97637619537113,22.3525038129276,9.026470491874496,27.243963130760392,21.318903363117396,24.44408816346207,6.399043842301234,18.62775489788208,9.64463522342814,29.924098333422112,36.226775037969375,14.239671682051952,35.17231776515489,28.541381838347505,14.306813461787309,22.77615781320869,12.837811803979182,4.086529623557355,10.616666275083414,27.160148620148654,16.447270040560557,27.63915132728616,16.2303404247308,23.199602852664995,18.915444436368954,30.14930242530168,31.013696606068205,18.951921923153737,36.62613308225099,17.199591031765568,17.794537623593133,11.553418039623972,17.104965959377925,7.733501945234777,13.751409846312011,39.937731875714896,11.315812320806248,11.624200940401098,23.86604330309482,29.21913693516769
25%,205.10724953247086,247.59567776530852,223.5817145295341,292.1029765093208,283.4927094995663,279.70802564488656,243.3583449279812,234.2238796526368,260.8953867354994,247.89836552979534,204.2666624848703,179.48106310251706,201.5368670779115,285.0630604649327,265.7956290803329,224.98900753006353,204.4194838314409,232.91454901059478,224.8862218079068,252.7940391995179,267.8591267717028,281.31478241297214,253.24147903457248,204.31728756068793,287.70602829910865,275.1028089161734,273.9810711781981,264.8381848870399,295.9685192843049,282.87775813827596,245.64388894459537,226.96108752664514,212.5572338149679,251.45957779895608,265.88078289839154,280.36176257229374,225.2376812866156,226.58600387626115,222.45893489712807,216.6970572463603,207.52455839900125,233.1653222552845,253.71216315687622,308.1473650044876,307.7646646320143,265.3910126384907,250.6858886282453,248.57147526001592,256.0095924256969,231.40790763818023,223.63781360236294,244.59776217213164,226.5979666159017,173.55321826721007,208.10212198252395,226.24386497949726,206.1482103028428,205.47380989891087,194.59556233015252,221.3619861766988,236.29255624716143,239.26673134525657,244.11345641916253,213.90713154228422,265.3629705876489,244.7150207160059,263.7769986502409,337.52115968345106,308.674443151123,301.39629912611986,304.9343466567201,296.9541574914955,314.4197475234926,307.8893202347813,220.58684504813985,246.99805045822256,233.2829081654408,231.089797665662,219.89014212023432,199.49518375818212,223.46347599715858,247.36350255127613,280.71344648288755,242.91646653263865,232.68388294040597,218.81957288615394,211.46074860342395,214.4467972171471,245.2309996540633,255.8745353524365,231.7565517960136,236.7266756112008,228.77006848304865,234.8927329420461,221.57574050101346,245.1629262046988,247.68779141932907,262.0221632957012,257.4779910048905,229.90149913969128,234.5853975313407,244.42903663623636,251.9894255311174,247.6979013796505,239.96743361965648,252.35028064654733,229.1010959076691,240.0200608123706,230.49509933803313,231.67218810253863,236.13345421866424,238.42951929834578,225.46897261598906,198.68195069286276,249.6040862466526,249.66562120399172,258.4311536552227,252.7020604429824,246.39551642966305,246.79923516748747,252.8902419219911,270.18847708354417,210.58292489903056,224.55444414195,190.10938764353858,229.1993279501943,226.72038685954578,216.4429435755698
50%,386.7076068169358,386.67968886106274,337.6420493750666,416.89414026365006,388.7667257659947,402.4193490770663,403.59341056557554,382.5408240138636,387.8413715635599,340.6425407812585,320.37331565584225,284.1518317493806,359.8992782917178,412.9592509085276,402.6136205298533,346.69951137568086,329.8434173293172,339.6280513782913,353.7354225326639,446.0044400337371,445.6768976306571,439.3166303664106,368.2836042566244,356.7994956670366,416.98352211961327,407.0043807226445,420.520698225272,403.8011333563046,435.2944066463809,410.24734007911815,377.8644533043134,331.3950837322495,356.9901218001797,353.4455811629904,414.7452573901327,421.1922640815392,361.658347938926,333.8811726115157,335.31780251080136,342.26534783851,295.1038203496566,340.1367234593075,397.489722476138,442.0421942218457,437.2945632848896,413.4289850290796,428.3987487978998,390.4784289497915,349.06990282941416,369.7556208310244,371.3522500219157,347.37763949971543,335.206404725247,302.2820078252639,303.5258041177554,334.8894893710199,346.2012300770469,347.9712021607644,338.1102474488681,359.93282099240133,346.5706672601191,367.1368172335818,363.4229403016308,343.52220698770986,352.5608616053759,370.5422565935808,407.5047606933281,486.1123815911404,477.9534314750061,431.3789058419801,407.3008539175367,438.5986361779749,470.6787831372801,462.8062021810618,390.7593803365365,379.84027942931846,411.3741714402452,385.9775498776981,337.8959128032909,345.5524745425688,346.7974955754888,368.2516382004127,397.73681428675377,371.5762153850971,372.7336248285008,342.69584893658305,351.7882065287636,336.4745286126188,361.25013316257935,377.5609636772221,388.0456642918837,365.49067930401577,363.1594435353156,349.85425658503686,361.43402396441337,365.6771750527035,393.5321896202695,374.9252841107573,366.0907625130688,344.2523912825717,395.8773899158991,378.6379311802312,340.8328689806919,399.3172859482236,389.06525569279415,371.90922517374327,350.0240565074675,362.7660656689808,367.1497702931356,349.75377402321385,367.9508356077757,397.075825399593,351.19709842490727,330.44337273838875,368.4967213681204,397.5171021751044,375.66957326170507,389.9970283980314,379.51045059170536,413.1037141387407,415.2931065213752,391.7763461651157,368.99667112722784,358.5852757016674,365.55468394038746,358.6428683070502,351.80015901888635,347.616834913456
75%,619.3189959671905,576.3295276629486,505.54707800800475,574.1224972032469,557.7082650214882,552.1170085012645,560.5478337520481,547.8466186221142,505.54767148652854,484.3619429360577,446.15985845203465,460.14997032648336,534.4174077888279,537.2580706779988,520.1302660012848,493.40919056577553,466.68747137041964,469.0118125054576,502.36183635900863,590.7149207582972,707.0624109657265,627.0397553515642,507.22508067414685,536.071932952985,584.1194378997236,604.3805058655253,625.034123692822,600.4956255906561,621.3739906671867,563.8003335914543,510.2181627118789,498.72834057106496,516.9983976974275,501.36857191382444,568.0656141190766,541.6429880047024,508.7025181691202,502.68729850336007,497.7098163708674,476.22789873912564,439.36435810661385,485.4799501137338,546.5858563940353,608.3508244918243,588.1708827066926,605.3791197055439,603.3306809737919,559.7227196376783,519.9683797130649,518.4768583530299,538.0109042160321,508.8513038968116,460.8692691897986,418.85309831628865,436.9708523744419,456.079097709067,481.5697176527955,478.23023522999364,513.0390286706871,497.1521306659318,496.2332328830887,520.2428314025942,530.1754377188411,509.913421127241,492.69015575081596,521.2459287427364,594.2937720112097,666.27813567557,667.4791512343811,582.1572262955734,509.7709051844864,569.8885325655341,670.6406663853792,673.6926223088426,576.1207199032683,518.0736679369863,553.473393711904,534.9399777323245,452.02137106564044,517.5896779999987,501.3282706949291,582.9984497137509,565.2304525499077,563.2222304080799,532.9535699049899,482.31515627170427,479.3490579711441,549.6963271246354,526.6945523098605,538.832109587691,572.5878933005415,545.9532688237045,501.2769761216666,490.3242232384921,513.0496404575139,519.9014592255027,512.1401632146467,515.7272009571166,530.6928381956501,547.6502428482988,560.8265007176902,534.8791784510669,511.37581198842827,548.7073514561882,514.5887372535647,494.61448982265784,500.4334025436253,510.48268135598613,501.69622742745867,492.6826503468686,519.4164815611673,522.4547614435387,479.01750174897467,505.3493026558192,562.4916888457415,600.0979543997503,532.3301441946572,525.4631940704625,517.3634882078492,522.5624952659872,553.5695544745938,547.5378811583198,510.1000701004556,514.4120245850633,546.0052219449191,473.4051670866218,500.9680456012552,480.19932446249277
max,1862.7622194097612,1609.6715221910276,1601.990159897098,1658.1721733406612,1259.985973770127,1180.2703205000446,1007.94670326493,1085.610095898207,1020.0888928766948,1150.2700708092614,1297.4263870567645,986.4062851658334,1039.0205038122583,1056.9810934811012,1139.4401997962236,1093.132401170249,874.9428720538123,1120.239191472921,1530.2342223551336,1459.8610627625606,1137.8695040655944,1039.8405345246977,1027.0997175725245,932.1936348240846,1226.4296431626449,1185.5853447127065,1153.6700610086757,1335.85856851934,1521.873029071868,1194.8473748479023,1142.587490641228,1366.1377946476866,1140.373390368309,1308.8555863558863,1157.3564507039289,1027.432516855462,1606.000528994204,1746.7589890362487,1198.328862792877,988.351953628568,1248.4305774604763,1050.3554974190786,952.7024160500364,1181.7037504729426,1396.1645691297915,1290.140032762445,1420.4041635501944,1508.2953205510996,1326.9147360520265,1043.9905616549388,991.0170516936564,1241.7733369416856,940.628171782016,1039.001467812819,1010.2961316633024,1190.9126432891733,1099.2973604374088,1181.103330832729,1280.428610944498,1103.773720229737,1062.5257873504972,1131.892193175524,1220.0409582441396,1129.9271820639742,876.6522606994608,925.9124841131826,1314.3790861048112,1252.820532332965,1366.4537774265625,1212.5924085741858,1456.4214023197649,1131.6824012550094,1139.7620529099531,1217.9785187799514,1310.7207237063626,1120.8711165197958,1081.533738271694,1034.716554840921,1150.5371011866284,962.3835433440632,1090.9628064689523,1303.4131299607452,1117.382607675054,1304.7302446678696,1102.368640378163,1271.7802082970422,1215.3147131999287,1031.470271046608,1196.8862379266875,1136.9617779359162,976.7768394046516,1048.8854837741626,1009.1524165263364,1235.2971193743208,1026.0278133341983,1210.1785127964893,1190.5275299712137,1003.8346812074408,1076.0098207378112,1170.2372880372116,1154.83195729187,1207.0431003999267,1125.39348228797,1187.0147141021257,1016.3502148061604,1057.1239343010768,1218.778477302524,1204.238903844553,1395.0252926000085,1213.0234845298396,1239.312441052712,1034.535264475816,1158.8321335033645,1199.5276452465043,1374.7542679631736,1173.2294633867878,998.0277800461467,1012.408062302672,1195.1242666864423,1222.17227076341,1284.445289771409,1195.3584254323912,1107.083940153112,1361.1968791268264,1225.192815911562,1446.8890783945053,1339.688102615169,956.783283674674
