,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,1217.5564770348767,1246.8381979867424,1233.6239577254385,1392.9915192963697,1426.9222460025658,1436.4644504636858,1513.7464184142118,1424.9792789101223,1333.2812777966158,1349.4813759642266,1307.2130308968233,1323.9486337948783,1341.279553401568,1289.0288666948609,1371.2186952600161,1405.0115009623987,1386.5450956927552,1478.8725722566642,1554.5697185757197,1613.0491775667454,1639.7459691859235,1600.7613788868996,1429.687231046537,1288.2049572990811,1548.1632094719362,1755.6015296032938,1747.258037186322,1647.156621145407,1531.8295192694836,1508.0585811183312,1503.0987058575697,1433.5886079081013,1386.6465770232178,1373.128327638047,1411.5415234603,1436.94772897329,1648.3425781682365,1728.7145445940332,1552.4379238632605,1395.4452249384851,1369.31579031309,1310.3300500131568,1351.3835105609169,1453.0843818316343,1432.4948838836074,1402.4035044435861,1371.6312121618562,1362.540054147707,1350.6706782059084,1393.1982249397713,1440.2110558101713,1583.9887950862137,1607.3613151042168,1586.3887346742686,1496.9573830307115,1432.4427807045681,1339.4371822456899,1253.5811256677166,1255.451608601812,1414.5567538058,1483.6494895782855,1411.2093724623016,1406.2860048909422,1437.2920008762844,1466.8695326654179,1416.6159631590153,1531.4489881261907,1601.5939585270214,1531.2149175250115,1320.2888438221626,1205.818295068232,1468.3451831220364,1576.4131502890846,1484.4454782041032,1388.5674017869692,1351.292373715068,1417.8039216358973,1427.895423752109,1424.5821688707706,1568.2870052306482,1660.6973562926573,1465.975329016347,1296.2361680350984,1397.2908920248935,1543.9532064022646,1606.3779095120183,1563.8152923687783,1555.349729250901,1517.6037067319978,1381.0914715584704,1401.3990435612513,1412.939548574636,1411.5391278588263,1321.1252001247171,1303.5623184978956,1231.8246338970825,1325.9620695417714,1495.0485187799857,1517.4074521978737,1423.1469733522438,1351.3578717367136,1323.0660887177378,1365.1146479763474,1432.9785646027883,1509.7975322827458,1537.5196637845968,1555.1961498752619,1522.6233033479455,1375.464095336919,1255.49835350434,1318.8256452574956,1431.2484086060138,1435.2622102769371,1443.5101059971182,1522.2334467569378,1551.3196348932277,1488.1486944514045,1386.6605709339606,1388.2332956703879,1404.7792007116723,1366.5567683073216,1349.7474867962565,1413.9001553119601,1412.0757180598205,1414.3092226959475,1488.5915887450794,1537.2219836201264,1374.0274876165392
std,947.4296256135096,742.7865655716939,703.3601583755269,774.2451938464762,849.0655233393983,837.1072726317132,749.214270587615,726.4903289446547,722.8810862378327,680.9475761285738,719.2852174987949,750.7564627310257,713.7519723028352,691.4316672096062,699.599806769293,737.1704607359916,733.2716475972362,724.3492022528853,796.8738166564575,843.6560537489206,853.213501950604,793.1638033785566,739.8257482571958,774.0590314130437,771.1894698103093,968.2419003068009,929.0424340721694,790.4297674523432,742.5979103867747,667.8650020785494,807.2991082222122,815.370008249714,747.7241091482973,809.1790460057183,692.8271899994172,739.0692970555267,802.6282464233789,846.7348592969125,778.5612487712356,805.10213822035,753.7921498670783,705.4308810725703,705.9558455956961,687.2566599977828,705.1879879261327,635.8393298797572,739.8403206935187,697.3442060881663,674.7529021720786,656.0850476703409,742.6113030399366,816.4333828142884,910.3545151281473,739.4496664868519,762.2514598618145,698.9213558357425,701.2135148806724,704.4645076614739,717.2762161255655,770.5814852992387,762.6319373097297,687.7519913395231,688.8530236293011,840.0042620925983,694.2821272445794,748.7056037508388,888.622499703196,888.8943264977531,772.9184683100311,688.7559340168527,695.9420902268677,671.4549911782861,780.8224070915605,759.7823097552961,666.8464430646862,711.1594021711549,745.4638439950312,778.4052984731456,751.6389956823447,815.8709533270771,839.6566913697544,747.8500369116214,694.1550936149781,743.0722372820738,775.3818164839424,784.4637659825355,789.5784799983568,743.0924797271119,767.389043830034,803.9843023566161,665.5538078583286,762.9410958331457,690.9867432235834,713.1616612004066,682.705188319153,699.2949150244534,689.4665237354501,830.1982995175719,803.3489703474356,725.735774977699,715.9920843948929,667.6577632497452,753.1494867016338,868.6765545495238,768.0358769525822,746.0793707736602,781.8358200117551,715.4734789850274,725.5989231527775,719.594869522409,676.17056776576,722.8220546563304,739.2409140037256,763.4018014616902,794.0760338951666,787.7149219998138,741.3802985276388,701.8020903976158,674.1828845820874,697.5372072949648,652.6430826395987,658.0461481462636,667.6850817338868,678.9755713390198,688.6839378784098,782.7257706998925,774.3209056584585,758.9460633223431
min,1.5845422577718864,93.0550307496574,58.53084644774562,88.52162307021369,101.18278932672376,37.75330068265789,58.40175608620156,93.9643854260292,110.21375563861903,61.71737189883926,53.22605470292638,114.4016806565277,69.04814625592003,72.27107450133364,35.90904436759552,19.54918626680527,44.52515745501685,57.28990599193388,162.98576409572263,143.17575360050088,118.15951215649638,45.70703504262848,149.33590152574487,56.930025369400994,102.46591666231068,113.6060751970684,70.64904286920525,159.76096305709646,83.17096623388143,126.00122690114874,25.53041570886824,46.988005474970585,127.31801822812656,105.4763088550663,129.92382736672377,185.51334855770352,101.3791766825348,81.92922582701587,18.15546803832208,81.1104348712456,99.06265583052983,179.06937526931074,42.18507879934503,86.03531095249892,121.24243524417524,79.44744293652175,91.30486317469315,39.995845812876986,110.19446767168483,94.28303967632596,26.65436170382891,72.85860800401225,44.52693417221499,45.15631847417441,68.18809106436244,132.62412476991545,77.84871363362744,115.27394506513338,66.06298108953426,44.20464391382551,60.12602169821165,89.70803246093408,35.41134906561405,68.95191587667489,76.49409110129065,22.302264633495927,72.5580250119793,71.23538412983744,52.80722226357063,39.37392548786409,86.57588564937215,91.80890319813744,72.15762118339919,120.1328878608684,109.87987475836437,112.60493401528572,36.01767569227049,156.1403906445533,169.7966227094603,59.70583833666316,73.65760758560602,28.57540691993545,41.69562505023774,21.718037671259115,129.33931530989213,19.69536281020909,34.233561968247976,27.04724893496797,105.15400910103698,51.74343701899048,64.10933208313274,31.76074260452992,67.97997131188727,40.32625206931633,120.52647978517416,122.9027025390751,60.56164837129806,14.41653782669113,26.421794101172463,43.762843986922775,169.37917334867632,48.70093161796108,32.21296470334158,83.68586897445736,149.01900640618112,39.08041519670168,114.77746189266772,37.32514928149105,92.21235699744958,56.09832070982415,130.23832111784867,37.52652087391635,42.2888675010621,185.03306451102787,93.60769026967183,150.73669330402424,75.4166636457379,110.3606008243628,61.91603682917072,213.59613432311855,110.31891955236644,41.62883896701586,142.7905093205342,80.24811316821756,89.49249478834425,37.68141913186031,46.81976747453508,22.495438154830858
25%,491.25752126178736,782.9371348816378,771.687693678855,888.047500260375,853.8327270503335,828.808006133195,906.3164194490956,865.3682105202242,837.1157804570471,859.715339699911,789.392050152959,757.7355652182273,776.2939258267747,788.8990717267412,864.311992192916,845.5045297272117,833.0824474136532,971.2852569237941,969.3755393670484,996.0793763185549,1036.1841969446623,1048.460231945117,907.6763941354318,701.0358922267853,955.7902851685394,988.5296731481113,997.4665119643871,1037.1169395764973,989.9010568146448,1009.0215176343725,902.1017907121739,827.5612124248707,802.1094251450902,730.5435468078055,843.8581358185734,831.5887518525956,1017.5854563644152,1099.0698441885058,1023.2273302231902,761.7644178502703,853.0699293423827,744.8955890852224,840.3965371668189,919.2481001616977,916.1752333364235,966.8430046861089,826.3147688613655,922.8668691266754,875.774644691523,918.2995813376551,888.1190037797971,1007.7701899593596,886.1318829295776,1028.8642419010307,864.9593547237052,917.1859577795249,840.9936144496276,651.8734859134845,710.0464221196488,842.7702486642811,880.092495124829,880.2748482901079,930.2726114496816,794.958916915222,931.6818204898408,848.9957610179168,890.4417663625937,899.480776629667,904.5297629395047,795.4128241673129,655.3588039344356,1016.0675787614236,974.6765596933794,942.7795309865069,895.6192305860463,792.2216940386131,888.1804061971668,803.4904289648721,795.5515238726734,959.4738636520448,1017.7719482011012,932.4780301296319,783.0631030887453,794.4011275940452,893.841757090371,997.2937453593833,945.7110759697825,970.0074276037719,895.3718468810857,776.992156549952,892.0997110977485,807.6278182609733,869.9985400217452,745.0320352107916,768.0764495208091,690.9078934764945,833.3696856789752,848.7549969510534,871.2146346010717,859.870593256715,792.5035312425962,792.6585755316694,738.4255803082108,776.3348362044651,925.5872204816084,979.1361441846942,955.049075364291,984.0113521643788,885.5656459055672,750.8386449759512,818.6143775073845,888.7606218580345,911.4051053553436,900.7356365494368,948.8398110961357,957.104253569525,895.0523852560857,850.5926588227937,873.1952385227996,899.8370184334931,873.6414618281497,831.5170478526666,853.1800102410059,863.8059125480775,887.611814138522,825.3867631469467,954.9614692076827,783.8760288260495
50%,1024.9970355999474,1099.4596283776937,1177.4633727932069,1298.4583067301917,1265.981041329465,1264.2286367255665,1426.384537909987,1364.597784673725,1279.6187415685592,1275.3641346644497,1175.8937285647066,1223.9063234800371,1213.8791957388569,1251.2070140733165,1320.447873337534,1334.6586563626545,1327.5008559755588,1443.412666941109,1413.7794572468672,1509.070558200921,1452.2803436900638,1548.3152584752029,1369.220059715533,1139.3822072395349,1450.04075015225,1515.5525433656758,1608.1114298482405,1505.4946310627483,1402.965166040633,1513.372774058733,1391.916985679415,1261.183739715494,1349.0990423257874,1198.6217441352717,1377.4822139985629,1354.0694337632624,1534.9195492236945,1681.2412371839105,1521.7498733710192,1291.3274008848605,1314.9294807359345,1196.371197740908,1319.8771220565793,1430.883960360352,1386.5445678868125,1327.2036689018423,1322.0271978213352,1272.8961260404158,1298.717106356671,1313.811793502373,1361.680687088278,1429.2366405626233,1454.2999384003094,1508.107770833852,1423.008811412628,1333.5839865999042,1220.0980076228848,1123.732031502035,1137.0853979206647,1303.469739243546,1409.9968364756803,1347.1308756899623,1280.60125957148,1224.7185651404743,1395.6410138062183,1283.8081892186322,1400.8933277077251,1551.667160993235,1465.3304270101112,1345.4508833194216,1145.9185038382254,1414.5544310181713,1533.6678586369849,1393.9760175422855,1380.213467864515,1328.3977690669478,1360.7982742866752,1292.789903674599,1293.3262979689116,1485.1600759891317,1570.6518459754857,1350.688667570547,1157.4155997376265,1385.6734344180688,1434.1578088694032,1524.5495796663245,1504.8389185226586,1468.5917819403348,1486.6470041792593,1222.7672675916276,1401.5052392034786,1357.8896365742771,1428.3645863994936,1251.1401934895605,1279.3674905271616,1112.1319248673258,1248.5048194905312,1391.7093980635616,1471.240938011587,1366.8645111745457,1223.1841114286108,1311.3103196884404,1301.8883596160804,1300.945553392795,1418.0987056381312,1442.0887293804672,1535.111005854969,1467.653416046492,1255.4923720878537,1088.5402762069664,1219.5167697728284,1366.8250880220232,1340.353511135433,1283.9922848051867,1390.711193133998,1397.80491065912,1459.7763385160292,1328.204609743922,1322.4773450267617,1364.9428023504008,1271.22055172131,1279.9242148707044,1421.8528365278094,1401.743277729786,1381.2188662012015,1386.1779544134542,1471.6794655890133,1210.02950886515
75%,1704.0974593991518,1633.5859666532288,1556.711933855644,1789.9428574742815,1871.130011829856,1981.946175646552,1936.5951185698173,1911.240884237304,1839.3269936520815,1754.334761757302,1703.7096080056394,1772.8698533798977,1902.0957918431936,1729.5482938552873,1812.2561923817357,1900.1974364657653,1796.458479736746,1928.8635045762471,1999.021310908728,2025.256271092127,2145.5449381203584,2075.261675307828,1905.4392879486854,1760.0985620437477,2021.0405590880696,2454.3442942587226,2440.9573452049995,2248.2836619708964,2022.0127924227154,1967.1580444744716,1990.1878225881164,1914.1802137064974,1796.5304105738421,1943.9546091646484,1803.7512331171572,1941.4360207483012,2246.683656186963,2236.95799117001,1944.0281653331076,1913.6932120634283,1786.209117244489,1793.6348600344004,1814.0835747352576,1971.95255046496,1905.944249794856,1797.4501809272888,1877.0535438433942,1791.0043135025387,1841.9912501220515,1883.3912328365454,1954.5791878345467,2188.662431925651,2154.599004396653,2006.6666426228685,2090.8425856293525,1860.831987657246,1747.990838353427,1752.2342225123584,1688.2883571123298,1976.5099033993952,1985.8109729966322,1950.3056190441703,1877.6307069471573,2000.5821347783765,1918.6745842499322,1845.8003713284534,1961.182114984912,2075.868659062508,2181.536858989585,1784.9580177533935,1653.46453089354,1920.4294373793332,2186.066369732205,2050.9876860608047,1780.8803754292362,1783.041491970249,1798.949665134028,1925.6260023408481,1915.248978928689,2125.2698794438666,2289.768416855038,2044.317152309081,1655.9107154302512,1949.8046195205238,2171.4090765768688,2096.129872222271,2014.0626918463367,2134.2672462034097,1996.2182128049324,1865.194767908682,1860.318853866463,1971.180397887702,1818.1791092093308,1802.513014096015,1712.6287541672532,1643.499287563708,1716.2260427509332,2193.596060933889,2092.4642943068066,1871.1499098737509,1821.2295154499345,1770.2457972123889,1776.7291139184676,1833.245687706741,1925.35844828805,2027.9709267734333,2124.5966458658204,2018.7611770790684,1781.7163813507634,1688.5236893516287,1715.4938157441013,1907.6773648224896,2000.6972960351004,1916.1151039755348,1980.088918886215,2088.7478120593396,2028.9980125921236,1793.0523914733153,1790.8466737282934,1846.2728836646743,1810.9868266448257,1816.9389515181729,1927.7578446694122,1970.4094548049493,1888.4194811057944,1988.1787732217172,2096.1474830919756,2001.8929577102926
max,7011.494547484676,5855.761255401453,6001.4693720117575,7675.3320959350895,6435.330475174963,4094.5643158211615,3875.6257672130137,4194.20006887629,3651.798902524964,3892.436445895375,3764.792191680028,3615.308361464676,3604.790638263437,3792.835009198701,4094.1147157591727,4095.609357683409,4744.405325398698,4330.821659053319,4107.107709640643,5345.947039814676,5264.88932088356,4293.790813937794,4236.981738188983,4463.796550565533,3814.213614930041,5564.703545803513,4330.280153023328,3958.517849376082,4612.917351266833,3500.405896550725,3439.1061809571825,3872.510753801571,3893.040027684133,3576.901605117352,3680.019861595628,3836.4131317399447,4300.0053049315,4739.340107797348,4042.6502895404983,4050.693759904621,4311.799359343785,3504.998225297444,3432.934357581177,3362.9328609507143,4347.980283363748,4061.216711062695,3909.319594577279,3943.247539040976,3285.975411819941,3937.234702180856,4227.61631574908,4385.728746494318,4459.768430571495,4141.913342770725,4735.540967395442,4135.994866495308,3446.554756658499,3593.455641000797,3909.071463567522,3604.767782542373,3887.921916565183,3640.936345194768,3764.48807055416,3780.824502751178,3855.461990074,3679.350815527719,4634.337835098788,4287.515070359556,4003.851480810353,3717.433531765121,3611.299299261892,3743.3313510681246,3743.179000877205,3843.760203418356,4274.961535532333,4107.903656148611,4941.276773648668,4211.248050678895,4432.131752507596,4666.5672819457695,4033.429205793349,3937.4536571101057,4224.764807433202,4676.302916988145,4020.8254856053495,4544.016259191093,3926.6031353702,3703.295370649285,4484.56563897481,4895.326930351952,3581.4935129631262,4508.707146903331,3722.272933054788,3674.0175783599007,3703.72619798084,4220.194396528561,3724.719591929616,4434.544244577375,3611.237280688961,3802.503295311982,4005.832726903921,3358.651620441306,4545.232716776706,4708.692995119848,4576.336503242642,4551.966746093487,4273.673287577809,3732.199615645239,4317.3512892683,3792.9889228782113,4037.949072629687,3299.348854300791,4206.478196412335,4383.297611788492,4072.2478698075993,3471.699771568392,3748.490346979752,3872.7030661695,3586.254048760609,3824.061331132037,3141.516811018128,3311.8093824938387,3255.005532783592,3817.80034313724,3838.4578089563543,3614.070217421839,3503.117096015807,3646.502206911381
