,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,319.8649342100051,324.3960118992124,303.825730987791,320.0329098777486,341.85475092543453,388.36641948985243,441.06834442084266,421.81907320634014,354.7367196109689,355.93727794346114,361.90784831563224,347.24692725518804,339.913915154279,355.5505155403427,365.5501076514491,354.7819870911697,365.24653833412077,376.9098617701086,376.4883378391961,359.1863203246039,362.8020526865858,376.709593009116,346.3557679074853,329.4037716211802,394.4427209445007,423.63595493802575,430.42710216193564,399.1121053869516,378.7366156630308,383.9358954393149,382.73473763405786,347.01841861759044,338.630675282891,362.74664510650985,373.8000927121099,364.11432025077295,374.86738195685126,386.85978626242877,362.3562385359972,355.6542121403685,383.5157553890615,376.8609740519164,371.29709776344833,368.28142036502817,369.9478609116704,374.8629587166922,376.848469171487,372.7579101015659,348.1018666571387,355.8222764233237,387.90891923000936,420.9592917613482,430.7974163697139,410.11919503899003,379.1410193577817,364.696653978965,352.2468545696939,329.6354732681261,337.718745196044,380.78322657688193,380.96538069562985,359.3271111968439,361.3689361569954,359.72826170794974,355.0735788621617,359.808598240148,396.57187159220985,423.1568212038188,396.08152746974923,343.62619722403406,317.55834261318455,356.87410824119956,384.5514555134884,377.7666836898694,352.53450445499715,335.3035266357553,358.51414220322596,375.7598672915618,362.68198940004567,393.45854252126577,428.48707053291184,387.0024578761891,336.195618351866,380.31812309210693,415.2218437916695,395.0820767587424,376.95186316282644,381.94811727784315,361.4358746062578,354.44393894712664,385.3550924298629,382.6944359174802,374.74407272837396,356.4534887960566,349.32959298924516,336.7270101390715,366.2369530350443,409.90479523282795,407.7440363370902,382.6389177301699,349.5128353139325,346.2807021012115,349.5350261569628,368.1989664475424,396.79268791251997,418.3509785554472,408.52276604512053,387.5250775975269,350.72613079580964,324.7643294046165,317.511642847833,327.1583548517083,348.5647364714084,354.9217180276012,364.24170560188145,370.6406990923722,365.4986501625733,360.18947099752324,365.13213730249646,355.02971141261025,338.50088174928544,351.19986432667287,352.1214579491648,353.5581283118319,344.69642006072445,365.63171221604745,371.3937809663797,335.17512604911406
std,255.02692689815456,207.60007624124773,201.14159973407214,200.4114314638325,219.20971378137895,226.1056986748484,207.9316274678464,204.69262771489844,201.17458677031658,169.84420506204154,194.3616781340439,188.34835628127428,181.17685029542304,182.16055002262584,175.12032559439982,189.80446230036722,171.85122376273446,182.82104410173162,203.2476747226781,205.26759549898566,205.94151109709495,196.66297013510197,183.38165219350532,204.4551436756754,197.0255379118006,240.55791656668057,217.40080417307473,197.21540579387204,181.87522606420464,174.0217696540791,184.97698007889483,188.32254382570795,176.40862215116394,208.10118478535583,208.28344359374162,180.56353759066906,183.46811070645455,199.3772557806345,189.38069969865896,197.1656905379563,198.06861029481533,198.60265595023267,176.17652410507642,182.90710521071603,190.843684423641,178.0352620122363,203.71953226644703,181.80931492949864,173.19153671496144,171.048586950089,183.6638507709549,211.39745153990992,228.58466588060332,203.45250357186458,198.10512980447106,188.21783956337381,174.74057070723455,182.5812698671705,188.8990645702224,192.13282107030577,180.44614206784706,181.34142521079073,172.18462439680903,183.34174912001617,182.46798525544844,185.4823283893932,215.10204251634786,206.38095126282238,190.71254495542598,175.16815641909886,170.59027182726902,177.3825113802356,190.18964235828247,183.97487698620756,182.47333062067793,193.76065550527562,197.64921553128494,199.7072135860886,187.70966534136105,182.26704545924622,204.92562662013862,182.78660558914268,177.46333804450495,223.29602630953536,243.76876446624675,217.66093653971578,183.74255607097535,188.26088512041628,193.64983897856604,186.45456562950477,182.14916414171128,221.70524389954682,188.59045011844913,177.1979729480562,180.43512757524923,191.51329834742302,185.6397441849073,227.04843742979747,240.59653871647902,211.78828530726233,211.7685443667469,177.13269167084383,187.95040136342277,217.01445209513315,203.21907500795612,194.32590789518284,218.98718398316578,197.23233157968298,184.94185540415455,198.69929483542916,185.6045729183285,176.2200821404843,170.34365137505338,178.07473693490178,184.8788671578529,190.33594685805917,183.63751082292782,181.75614543457098,176.0668943057997,165.38938527800042,176.6344124500254,164.56238122369206,170.83972793001186,166.23742296371253,187.95803976072676,182.56922517860517,186.12855409641514,190.69977963979179
min,1.3385267282824032,16.687897385705966,20.23719206507829,14.212338342344475,14.106651573388218,17.49077421219532,10.07265558876566,15.68124407216943,9.211593841855294,16.076508937836145,17.591195851644105,16.08658094499321,20.878025836096523,4.270992567140308,22.45627178453649,30.232511965103317,17.35783520663263,13.418871981119745,23.584233549964186,17.242689481848608,14.909435876479709,10.81399769010145,23.850376269662863,7.756218888461006,34.87412308331702,39.92836729891462,16.252931681914674,42.61081235976568,19.72263597713188,16.562688902283668,12.872577001941774,17.527521044225914,5.099612598748512,16.439425911770236,3.948335975585194,33.9383524381253,25.66128590096034,33.210923842855834,26.14037610225449,32.54420594241331,22.26736785714055,8.7902973325228,12.587615777627493,25.311916685192102,12.491432144123756,20.648124480869328,6.761508247932065,44.89776211481855,12.263226463086976,34.113924970061426,26.532599786656608,9.827879505550294,28.72682709384696,35.48967380484207,20.309943191170984,29.575942083868465,17.426551922190168,26.95177990799828,27.95168133679148,25.33467653541679,36.32832696022669,10.34743377025784,21.57151437935377,22.56404809926383,20.368315235295537,40.76843221074423,14.807205204396666,9.814180337705167,25.818614738206367,3.2588054174830408,7.275051729882179,17.60713948375461,8.518186444141344,40.95170376526116,13.460178107397471,20.67004914670708,29.75753213063952,17.485339564680224,22.09723344447162,29.521900391620097,41.05974241838522,25.452940874974853,19.08086936377925,18.01376814861317,21.82866898958545,18.83088973857693,8.128050639302533,12.058403749524263,22.791630802380848,9.7273827317129,10.333163944723683,9.168345650773482,9.028126169243157,26.47177682864517,8.829450497363203,11.278770488128186,9.919531530209763,11.097811499898642,38.07502476674097,3.895273210786988,18.20762989510673,25.493499819563347,29.564922560396976,27.24557291642452,29.414315933821968,16.1712431929932,8.875912669335465,18.85803444741182,21.762186636600006,8.160637284383652,9.394775357609369,7.887317366386001,26.72951848416316,20.99091032246759,3.141673027346433,9.0668525435716,23.694856486582417,19.366567683864155,43.31784726845322,34.90991958264289,18.95141989143675,19.387719810920288,9.99167080197556,16.022598345411254,20.209584767198173,11.728444605622848,19.703411442813845,21.8985324102324
25%,120.96808043602616,178.30596359857518,166.32104755070668,178.58289578505435,168.15544411470802,222.785828343064,259.31838378930826,266.26256038680543,186.0617086452716,235.89369747704336,204.44037085301494,203.348986599463,191.43355549863264,229.05873085203302,226.01590222914243,197.30612770670496,234.8280097129032,254.38009337302208,220.58254930519894,208.66568053578476,210.4339544534621,250.65359915030328,209.11196980988393,183.84072120865062,255.83470649253002,240.11823775662657,262.7324277923776,255.15502349042066,252.2579284502262,248.52961015342396,248.12555198571226,209.43673651334342,212.29090670286584,200.526332512796,197.32420547196566,221.31098678866,234.3748213272776,252.119707414008,209.5535924483457,206.3553473653697,231.8480605680279,228.27027840850138,226.32043545123315,237.192819176492,236.02952390338118,244.36965459216717,206.54985661254415,232.28225380968942,221.05747018782418,224.8320761648095,261.98859160897223,271.480465858969,242.2399468519982,265.88005052638556,229.07807100386205,221.5025208111138,225.16459755318056,178.7787347220571,193.5310769044852,246.37267926402927,247.97505105468014,219.81080048378152,225.8846423498356,220.80506261181085,216.1147973785026,208.12354736688428,236.23819103992906,263.5079725201273,244.61324211333533,213.96855111577125,191.78636302737104,225.75244157180288,242.92476161419052,232.09278442032772,209.09497580157623,194.85405103819795,191.33591620395936,212.26748527254523,228.6973474157635,262.96531911109867,266.3346551856182,260.20753725415034,196.95145983867639,204.37209332458116,222.2888882655812,218.4496015591581,222.7317169939787,231.4162805666375,217.71400064608585,200.8917811838129,259.47648723976977,211.49503394945003,239.26577253792013,210.4972450037875,224.17453664762823,213.10476735125008,214.98882071719086,220.7308292189386,199.29016161978888,213.94075709942734,180.66926380031288,211.7472113480581,208.40245099034968,207.5473169855136,260.06964774493554,270.72632406824687,229.91395927353855,224.04015818284196,212.7118840978765,158.66488951352667,175.26596695908998,192.39780888232613,213.33675347579964,224.54492278905212,228.72208963711205,224.3756515808633,237.6596795393346,231.15707551352153,242.8964471711845,238.4268207527553,201.84808332249182,225.7939942313673,228.27952729261412,226.80259313462886,193.56443688291074,236.9619495965099,232.37940856140608,173.6063278110679
50%,251.02110552364195,279.87027685642846,253.44236224873657,294.5650389766477,299.6422758937184,379.9154292900128,438.7168322701426,397.1671003278324,348.2466126026304,336.4428889523414,340.763745033794,320.16066269486447,323.6929575172355,345.3249330590557,355.375691936108,330.13544623403953,333.6661253360683,343.3161211985234,336.062225213709,316.6247706465364,331.7352933304871,352.4228456001327,324.3255141086967,304.14073317898857,349.1108036089318,366.9598098335063,391.70632791573206,377.05696941672267,345.33514683560395,373.9783745599569,346.90446913292806,315.68730895073566,309.6538088551951,314.1891582491158,359.7088418266466,346.01393356368544,360.13047710844785,366.0229740845317,344.4025144158208,329.4341118012427,360.3842583568625,358.3258041522647,353.2254458755472,355.59659957874527,342.3971141934785,378.7917822932535,364.39575491124566,357.2863275462631,333.39419823005056,340.79492285366604,362.1081767292826,413.9285747114115,402.2684214097925,382.6532322954787,359.260486137498,328.4645995675646,344.12715131223666,306.315892172032,301.0767364378631,355.0609681472246,376.4641720636664,344.48319191426083,351.8990253008429,325.2561797732116,334.19221712092315,336.6741240408912,349.56027901687366,395.35679426795343,387.1540327237721,333.2489782212065,285.8717992533186,332.3727292440345,356.8550774411769,356.5315605073758,351.8617882277976,296.25556730348825,323.7431103498963,372.2835641211369,350.76020278259654,392.2471633784471,413.4560085451946,381.9657708698341,313.00482462139115,328.94609421143736,388.0517220527191,367.8902806591503,375.7444050235413,358.1951963686845,317.47858798697064,339.8523835868683,372.1827339220401,356.5121258796538,369.795419437489,341.2828273478272,325.5206081796333,296.28058888753634,350.9317509008915,372.2357264475348,384.5666397276873,368.8542134409325,338.2435561954786,321.6984301845399,323.42467500278013,343.5983241519964,373.519240376338,399.03065160196985,390.2283820650693,373.4222871604354,300.80436401460616,290.7717290947673,284.7291565919879,308.0079868367809,351.0093576369343,322.93279540964954,340.5537175450312,333.85069590309325,345.37662445751187,321.53535108408096,331.06703261689864,333.6455663535157,326.93374058588864,323.9952964157852,331.35436243990347,343.39807748576874,328.44974353935066,348.45922258696226,356.1427363376715,306.0023162762509
75%,489.8836009060946,450.4227473918809,384.6588454015423,417.453458719277,465.15968674594416,500.0086455006977,590.6058961496399,579.5301072524467,501.8707006126644,448.6419541855466,488.48772323964755,462.01865243847527,454.8471440926222,486.3585501415238,483.9587918480096,483.09423866791707,484.331348530461,511.54976790337383,507.37154142838745,466.90590339090124,473.49231192800465,460.0520576071402,453.74076133483095,440.4093723469755,504.7940967739912,579.1359038127003,573.8743577160553,518.2015326118075,478.0552669057653,503.36564562316835,495.485384293994,453.9591799768329,448.36968207678456,493.99335579589473,526.5519278611241,477.6859583333725,484.6174534597975,498.3367012836163,486.1604950190889,454.46476355429104,517.5995818602639,525.5087782554756,496.2547420967062,490.5862499326345,487.98511519895146,461.68156384775364,525.0321017379711,487.56024643558703,469.7085010911927,477.4035787208077,506.4549582606073,581.8863468208781,556.2342680659278,539.3732929817362,516.0433743200916,499.64346935598235,451.99961993703334,458.713769241969,467.4820167068836,480.9096274828013,489.97401230999867,494.66550781763794,469.04177974057296,452.15197114091615,472.46252346219165,500.57451266014607,511.6792926629666,539.6469738850924,534.6510854428556,458.19067435584896,412.50692600084056,484.8558306423193,542.0272295123066,515.3066931892595,464.53161379130233,461.58680381228464,499.2440719832456,487.2045630740786,470.1035083158779,489.9246931653051,566.7682378007314,525.0705794169914,443.53754013791604,535.7187870896012,556.5108374991836,563.8359209455871,501.38818276819757,501.12053409824364,493.986486370109,475.0148306322833,517.7309169001638,535.4648882858248,472.2219310010197,472.3646996146276,451.7279108005706,429.9915067121394,486.14078730924757,571.7536822036327,565.3338779135116,514.7099628405897,473.2836329178672,460.2839745221354,452.101251616685,478.88363840383886,533.0130532008716,562.5434740204206,550.3888921853504,518.6022663761871,467.11742640352134,459.16937700763947,436.46229116206274,432.20108099340587,452.56557108257834,450.38088816813183,471.4334334123556,527.539442096436,486.25425127868687,476.0056079967227,477.3527846717069,450.47632083055794,459.79033861214657,467.5022522575723,469.53872355663464,481.68006109371686,478.52652595858194,480.88883738403206,520.6713989602808,473.6465534123603
max,1322.4720032881096,1432.4454812160243,1421.8186951992243,1682.535387055205,1525.5055791425143,1239.790539652842,1090.150570521291,1032.8203969808872,1117.018226190839,1127.0228918227604,1123.9541609502774,942.8910805380162,828.2765576850676,886.149192411529,930.0065270342202,1036.0582378509043,1096.2632274437742,1044.38347440544,1081.3437974838614,1153.2197469796365,1212.8615285936037,1183.5979376138212,1071.0558070813818,1108.0252629461988,1113.0900011922215,1266.4105786431992,1241.4856785326665,1028.9027550855112,1103.8244752587475,897.3045530552746,941.1569218022844,897.302771954755,964.8809345709514,980.5221366537346,1030.2645878255344,982.2735137457554,1021.9846565900228,996.7588650417138,1181.486087171238,1153.8701011166831,1017.1766170774536,916.9120938173314,851.5111490803013,900.636989078591,1148.4048381115797,1044.9641129537258,903.1968974296578,948.5173414250388,891.8719582859001,1003.3466087001084,984.59762718683,1040.582765735557,1165.7394612810574,1028.372482476767,1179.1205684642644,923.5839733799144,918.1550837777544,958.9301318980392,922.2528987319084,1073.9594475650051,966.2038967089036,1024.6513910778306,1030.2069547855608,957.5266000853284,896.4809724092077,1014.0390258739128,1225.184344898539,938.1446436807836,1171.7523235637564,1048.3774532918192,982.5770840307702,971.476018707516,867.362961012576,1035.8870013186606,1121.1474873309742,987.8003297299588,1133.832621437628,1168.7843528254805,1028.7977942679956,1113.019465307408,939.876971147687,994.5572730467428,967.7650024066288,1105.7991266832337,1131.930894789661,977.4918566318808,964.21273706538,1081.1451973668345,1250.9437803745686,1165.836965678691,853.5842651868602,1061.3523563056851,1036.3621476737326,1034.04773342198,1024.338687485082,1044.1985261224247,1046.9715046876174,1110.8579703355554,1020.430532098339,1083.2397295215312,1059.3358307406068,1006.6629925132612,1197.282289213423,1220.2384239437006,1007.6859973725548,1076.569218641132,1022.4528083688432,961.470088684693,926.6906940037458,999.335252923832,1020.6554702163332,894.7612031746244,945.6877651831488,972.94250439248,1031.1514872391313,1011.1770454700232,961.6645089430816,996.0556581926,863.9828315090672,917.2611735281364,1026.0682178954826,995.0886341537284,916.301982546672,883.5244517409926,975.7250262288806,850.4054395608963,805.7192611123895,883.0337163857043
