,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,2034.8235306228978,2057.2564023915493,1768.0488190863189,1681.2392941617836,1668.841820692752,1798.84795105401,1964.316838283294,1904.475931091241,1839.9584722506754,1842.2895906324472,1747.4343724184707,1591.9918719000152,1761.7153409446573,1791.5205788401033,1668.3592290481924,1646.9964401687319,1674.6946977899902,1599.902020514948,1589.9542855996829,1723.1651007005441,1847.2761587523014,1789.7308279874562,1586.1850104825724,1616.0474438867293,1782.4680869377405,1799.8412435838416,1784.368559154289,1704.6601603460242,1716.8579268402664,1746.5680190141604,1679.8251281419807,1727.0626672031576,1730.0438626374062,1763.10409072516,1826.6889961952904,1820.570424924492,1693.5864203153037,1673.3259246543278,1736.582469122837,1673.040135063723,1527.0119086067043,1521.7060692536909,1696.0023449040223,1918.460984061703,2056.2668893215214,1908.2320831652567,1888.7127028306884,1850.835956866974,1757.5260310858318,1725.6596089220789,1748.046180590368,1711.1429995530268,1607.9027346619084,1539.657318097409,1526.0070120643227,1534.5819887903722,1504.09194848418,1660.8202835321217,1796.5663207393366,1689.3580128457738,1633.1819837962423,1673.4226802029823,1654.153221548819,1624.1346889794966,1721.8463837975953,1788.149251198569,1838.56074139094,2040.8489650142994,1974.3200900962077,1762.360105025019,1722.1102111039338,1850.3025533314265,1934.3912752096837,1871.1598921375034,1632.8959110271014,1604.1311756166049,1635.3480331747178,1540.6695736630138,1431.048385694287,1542.1196857702785,1616.3866818932445,1748.407394827826,1797.468017951363,1609.5543311369117,1573.0093440373005,1484.1353395824428,1540.3439087608413,1711.7841838127013,1665.8723112809475,1735.7081718368418,1866.3610412220446,1792.3792388773725,1742.740644734711,1678.5278296722322,1626.382433150697,1738.7532058106756,1850.210649049124,1713.4489087754196,1768.4046687243283,1809.2091631920907,1806.1238198547746,1693.698407952184,1667.4357231588613,1678.3131475196187,1620.2210492555507,1597.5439382511781,1593.068323410986,1694.3285665374376,1703.4476968171484,1627.487813313932,1647.2656674860143,1711.6652751436654,1713.644384641313,1749.031393622383,1853.0378119218217,1786.3859790823456,1689.8419884566158,1709.7742631916003,1770.6892941635188,1788.165013280372,1735.6688260304759,1719.0549774311642,1625.1445077798896,1654.706535990169,1708.9540990369933,1720.106519412111,1831.015724171029,1829.344011811701
std,1554.7968783092624,1127.7065457626495,1058.5654880005138,1105.1807934649776,1006.5862773397328,906.6844878223661,909.7440622404946,874.5432734026917,886.0844944753076,1052.0513276603858,884.5137055740671,842.2911770578671,878.9567468943919,871.6092067957928,849.8198032803331,913.036939130394,853.9126107750509,861.3116127287412,872.4813552821605,907.6655169943579,843.7457935622203,809.6186203295841,805.3577763668559,883.0913482051529,912.6771549462009,879.1287854942852,841.3626251023169,946.8199825717156,985.9101811704322,898.9431361200918,893.3496940736004,849.5317856830321,863.1896015351481,864.9643534715457,935.1174310230263,881.5203457006714,886.8280108242653,910.2386299135804,849.1173393114017,869.8926462774243,888.4598816499142,823.9315657161304,908.4329215686088,1044.3919127222905,1005.8407893888118,1083.241823369125,1021.2125763302558,1083.7856031619126,992.1429083596755,876.1745848410054,866.0346993275293,852.1598901205447,769.7403367406242,784.9441542231456,764.9878533243182,759.5302364185669,844.0663047059115,903.4223647964155,977.6767257879171,893.739461005617,842.6471048596393,924.5956232462585,881.1558147781236,901.6350176455006,892.6813842133394,892.666380573984,1031.581439193231,1013.6925507692752,926.2177571894131,781.9628981942014,865.0602497765157,906.9029826295787,923.6423358600052,910.4351525108799,915.72934707735,772.4280033498496,869.5946828313942,791.7940307616059,773.5319395591317,797.1410122831525,855.4558135891215,996.4039605591568,931.5019908245267,865.9706270512721,831.1026925287196,870.3976651390313,860.9399472425246,956.2037894623655,868.4421670479944,884.0804792830395,1044.3566288864042,957.5217425601703,901.418760912711,946.568855350039,887.6278008489968,951.6912604216952,1006.4500289319432,1068.5083193085418,911.68470399412,1054.6316616834295,1029.567445393577,939.5640830281533,829.5298852124155,952.2254110154579,1017.6308777475335,849.1450511767563,870.8415621582975,891.2029309267879,888.416591417139,804.2142336999159,829.0621408650115,940.8390821283308,870.6867029461318,894.2930110123582,1062.5270228868274,1062.1708522773476,851.0546060847646,811.6784767643434,935.1126671074954,926.0015106285807,949.8582907349331,904.9411493453758,912.2891303753917,855.1273158503046,784.9849732883694,892.3357284022571,933.0280136237828,1012.014603051428
min,1.069219821024774,48.37372312999528,36.67556040258495,90.41805749887044,76.46807560587199,105.91629101150409,49.75904754928359,198.90525086326892,153.59914458683096,48.571050846415936,102.53007399672596,63.1971768051186,212.7448523635293,55.18537444543397,61.288691803921374,138.13128211113812,51.39833899359552,203.32027494181256,87.82994698364254,80.09785097324637,74.46257092606533,139.9338116446389,91.4662498417446,85.88401032298792,155.63305336614357,112.80149561987304,160.75668222544405,61.11820247792391,152.1044756849305,132.15633471954985,54.18201663497657,63.86969694202112,104.65345801140748,37.44779820172769,123.08107730781718,17.925820220623397,93.18856043897092,84.26136880742763,93.15723803359204,152.78481086520347,92.81237347027852,58.57433869607807,81.08933229413259,23.694346085438934,236.35700853363983,88.79933582433976,64.5054776099693,84.6656764382422,59.12569547372547,74.1508023362524,43.46082230154314,137.7969540901664,80.37610106444765,39.898127216110815,46.746616667270125,47.1392238961894,61.71252664766567,43.82108480430109,61.03756142077236,62.80613575482534,49.21885142254461,4.721903215387668,96.38764271164251,26.189826874280893,28.70909201801009,44.59151296461271,121.49931402414536,69.34254610710455,122.6352196249302,128.53325872409496,183.51155261140389,184.80183121223848,75.53842167790998,83.21507734331213,62.384753582992815,51.91531507860451,105.12418920017872,73.97248878689483,38.20034067016766,24.459969717769628,72.88276525742096,136.79253313443806,129.34883283993867,160.94015106604985,53.11979851197435,71.56022152562032,75.04976731791807,75.18298027135141,90.82890059599558,48.71069301098207,11.71731326265514,26.508396680190128,45.86159539547194,37.145132795961125,19.09119410495244,156.99648491620894,74.15810834949198,25.156264011743936,170.41781279483817,82.91718760113118,75.76576884856125,64.94724733718861,96.57143121900184,105.06603883990104,40.09893687206431,52.47509521535199,63.8233505042222,104.2947554150002,164.45363878503764,130.15749231805268,131.554756222059,113.21648123425366,94.55345220064464,100.2150458771808,166.70898397728405,66.73925279232046,56.95262478842508,42.232002915565474,152.99518996870245,92.8135464751117,47.163280245476805,57.131204888238734,73.17181386971288,40.45211747658124,123.4644252284686,142.10133613396027,56.03376977754901,61.18657306661044
25%,840.1664800799263,1241.1571251451433,924.7224144053685,805.1527588919478,888.7406630263243,1178.3319794287,1215.040027367404,1221.000050967675,1187.9342768095598,1090.3413234773448,1088.085209133658,962.1989238922649,1098.4465824346348,1133.1040798617237,1022.422246007263,952.9300150166771,1021.9303073574009,953.8174224837358,960.376398065175,1080.8351071457073,1247.8487140929356,1202.8658924912029,992.5915005311074,908.555396630383,1118.9358199332669,1130.9516751552483,1069.6006347426498,1016.0061173437396,983.6801653066047,1007.0401646545388,1026.4378000285294,1055.6384906682206,1030.6927077455216,1080.6545218546212,1123.1684198897392,1158.4618535816983,1015.0035950968725,983.436084875629,1102.4046450958972,1019.9761154274788,876.8685624762176,847.0153579240687,980.8497993210303,1058.0415254420714,1352.8843210026077,1044.3089679875468,1094.5343571966746,1091.5270337094962,1045.5511834657946,1090.96623501361,1138.4548708828147,1109.9129075441106,1021.7462134484979,963.3619842631093,978.3754468237059,972.6731617207683,892.573550743231,947.4293759666758,1089.7494947375503,1084.3364050422467,1008.0074572992858,1020.6809172957289,977.4723849047571,911.7142197168404,1024.1584546065899,1106.1814407701695,1005.6490324414725,1285.0837631002412,1322.6573289736336,1200.7798699528098,1087.8919912295364,1180.5904500832394,1263.1731768392858,1171.0356648985517,914.644481324658,1066.1638746382223,966.9294605464659,959.5080269666578,881.4855322936469,977.7899316235926,962.0958706070292,933.5799725776562,1128.9993606637336,963.8938452117897,903.2625286032335,798.6552016028986,870.1164946241888,980.2495877351762,1045.4046198720744,1002.9262401010874,1053.4637178484238,1065.347132976798,1011.6706055087413,971.7406181957406,995.0102610158484,1135.7942214949908,1121.12319595359,858.1161574102049,1018.0882965996063,1104.1360272494867,1002.1809194578344,978.7999812731438,966.3836008905922,976.4858986737413,918.3573501553096,937.902937985071,958.3014919012346,1052.9943779686703,965.8508612836472,998.603287326616,1026.9548166327982,1023.2198705087153,1101.3924145305316,1130.5149637472484,1117.0930697745393,929.150622525295,1038.3639593815797,1082.3718559489953,984.2181342157085,1086.5721917435608,1016.266257076131,1010.1371307408485,892.0668872440981,967.431312666855,1141.4153165272423,1054.8337727751837,1048.7425468405088,1076.300343170885
50%,1712.3519095058596,1883.436883732456,1652.5722449407888,1537.2074721540007,1508.840891688106,1625.2810355227844,1979.853007773209,1826.4157314530112,1695.2372297363054,1646.8058599282351,1577.8815118862951,1524.470968514981,1701.8713110089634,1749.8024226072382,1506.2927558284218,1486.5086152181705,1575.039676052195,1387.9139859660788,1513.0619148440842,1561.2499680971137,1866.7902361432543,1809.0588681157556,1487.6049301102396,1472.452754542231,1629.896215378565,1712.6873745728424,1809.624112336848,1621.1511080208045,1492.6063844542878,1691.5080813719617,1540.3175393968531,1733.3861818572489,1669.8954504821086,1744.4441785969866,1746.9865045658669,1734.9541771537774,1519.5180452112295,1566.7461511770414,1567.74213983891,1583.4526983577457,1329.367103991697,1449.5634692980718,1619.9205999215517,1826.1034227516488,1977.3970000461795,1759.9617936880045,1680.4325978713475,1680.4314907563394,1597.9137312058,1640.9676558008491,1674.6917525761723,1650.9745889507703,1548.0745624985302,1414.7946730145322,1433.9597225374391,1429.8338599009348,1435.6555315435407,1565.0554985493425,1608.602606626516,1551.21404455356,1513.9580697011006,1561.1036470489414,1483.391244140326,1466.6167763993665,1669.2755661965512,1731.1290024712348,1735.464895731411,1920.4700053489776,1928.8539661477944,1735.6579617852476,1620.3462862129818,1800.9290872925746,1857.07240140426,1795.1168503272645,1531.1144009803943,1473.0031828995543,1536.5862312125398,1502.1811940663613,1317.4851961717202,1395.4025895026475,1535.9289367852668,1628.0617749169362,1642.04582185819,1497.1992804685458,1536.1323514610217,1328.1169133694882,1434.622125432349,1625.22931808356,1555.5003582788554,1663.152523045629,1718.429110821634,1641.483065381894,1680.872493778272,1531.2973987481523,1522.3754709293312,1562.4257128947606,1675.8020744866733,1533.5769907793226,1631.4152982069977,1594.3566760835752,1646.1470039230192,1492.691547771194,1564.0589858364829,1475.6054619797376,1452.2637753183596,1499.215083800059,1410.7609090863737,1651.9529558432175,1660.9920396124894,1576.3996899193708,1537.156930607954,1642.943980942285,1602.4803004316611,1650.2039064457535,1622.9891401291202,1669.2994661214232,1547.2959068073694,1668.3759254470117,1653.9808681224026,1652.1469339641478,1575.19471230395,1636.812321079032,1541.740884334298,1564.6612012446103,1608.104925842847,1580.9235995562167,1813.6325976903277,1644.06946578314
75%,2999.5435920452023,2753.5287366727875,2384.7046573082216,2311.0138058658567,2364.540199983069,2312.511581568833,2630.9175647434568,2528.868752748365,2373.2016943361004,2584.0995826210456,2301.5523448832773,2139.93644309945,2290.4319885774858,2313.684144402043,2256.136962117911,2187.6808517695795,2149.565885176986,2156.0789208886954,2020.335435217714,2143.3398077358597,2408.3797796163362,2339.953369936109,2070.2533365520767,2283.063080439062,2232.589939270605,2310.068185704773,2335.452030131526,2201.7130573423965,2289.639075493936,2361.299418605247,2233.052390158272,2326.28904733302,2395.101033329684,2316.3194963730807,2392.716102912863,2434.336763710129,2247.0488049855167,2256.867771136328,2363.7828924757987,2166.7375051226854,1963.0951794721648,2009.8111598425676,2304.3408483877583,2697.953981044304,2510.7662584492987,2634.255558876219,2592.9410262185543,2544.4581160319276,2210.3004631645545,2228.689337200666,2283.2231313018465,2188.397542746079,2080.4784657962136,2010.1169552476995,2050.1174711773783,1991.8612674400265,1959.990095692236,2287.8420181819256,2379.013133190377,2310.4995765785743,2188.0881485122936,2193.8460056120966,2178.5407426161473,2259.5971465589837,2350.635017522558,2325.996497944299,2521.1257954292278,2715.478286494129,2596.6984432688278,2271.4495763000486,2195.2608941251547,2321.0069297812215,2548.070581836647,2530.538102157743,2231.0485119934947,2066.8196668999453,2291.6684673067434,1987.724295435324,1823.4907820809224,2111.423901017505,2126.175089072929,2436.4154491092104,2338.399290197631,2155.119610709232,2088.2635074695663,1983.5363516884336,2135.9010109832634,2265.890287958756,2181.1525912191714,2402.1336577900784,2569.34840244536,2503.228449009143,2294.579207156238,2286.371754386072,2195.7959023876747,2179.658451673785,2454.3341443934114,2352.3394899848217,2410.5770031326133,2194.177245764836,2330.4101478473262,2376.3312586767343,2336.7606500108727,2257.5473281680856,2044.2460813814678,2137.057824249362,2184.6780904432753,2247.6595419783534,2298.3789394563555,2153.069287746109,2233.8118288362925,2305.800096764262,2248.639454127076,2236.67200811773,2499.076337503281,2387.8457248383575,2206.285010715409,2276.984018369237,2294.0630744429864,2424.9739349043193,2314.59387009317,2361.631873819685,2271.6854843367237,2211.2135519078465,2154.846893467712,2312.6112521165824,2544.3014726897345,2475.120421130549
max,8702.222663552628,6731.654591093165,5528.929518583277,6090.3209029584095,4989.922009821933,4648.083835436555,4773.987714660105,4340.332876956982,4632.528701672313,5113.845098294098,4447.444870640723,4147.417001168354,4936.476299667713,4634.978735913214,4308.906488192779,5326.406881116031,5248.861440952229,5286.868239038385,4789.764697860007,5276.658947644574,4363.553868610201,4072.844709900608,4099.744158384673,3987.6388328153535,5023.095938509464,4547.188514357612,4465.225089519977,4905.399247476184,5419.686300846861,4455.42764216536,4565.423385765015,5563.060080023629,4468.053186231016,4866.891454977096,5154.836234044104,4931.809168048452,5520.166135712334,5597.268907069516,4938.692612729091,5021.006022364012,5448.511753392945,4154.083138913443,4764.088252385894,5623.352831134931,5799.605206625029,5822.341176757795,5420.726770121217,5747.26661964243,6202.925053739797,5277.217766567025,5417.359775332291,4621.630534488149,4433.933500272244,4382.040568208454,4106.434510624148,5517.1254109850615,4422.930636035069,4930.942700859559,4818.392799573056,4977.920038952332,5473.656474700533,5065.227982392743,4559.334042256155,4745.379774172762,4492.645871602907,4441.046320387895,4852.024174192441,5511.530595924556,4828.6330640688175,5130.155034117868,5355.932772484301,5302.688106372485,4539.659513947369,4791.482393598985,5419.3057914503215,4832.250564042448,4129.81005410808,4252.875354357239,4082.919792194349,5277.3951815538585,4669.456820549788,6057.978497116515,4884.256203886793,4148.810681821981,4174.312012655445,4611.613866512907,4301.30830052671,4831.574239780921,5822.200498535243,4847.20340090514,4765.003238942626,4244.574886455624,4716.047244611601,5127.844737398824,5129.225822816937,4782.662163453994,5885.802901278045,5552.032239840104,4584.543691212583,4862.8194933759305,4771.393831580919,5087.780744628802,4439.173716832069,5292.6124308111885,5463.444516450103,4530.044392269983,4309.211667030537,4519.542846015265,4889.021582926584,4312.70764117045,4379.362627908938,4943.922586783522,5164.002608927002,4961.743735737771,5839.643396442903,5482.589353280175,4549.637944156107,4318.192890450095,4979.842659302592,4641.98995907301,4501.011704413328,4760.851514943229,5069.226354230504,4958.6359436456,3964.279867058744,4805.318085080457,4862.379819241892,5301.436945239389
