,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127
count,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
mean,855.6844105072447,782.8227024725512,632.4541290770646,713.1858699734711,726.061975022874,690.5438079076966,671.1187343682261,643.6152124789843,617.2415126301206,590.0360285734488,549.3877570518897,541.3625380784836,600.3048394256696,637.6169236615481,613.9598613979431,567.0596311263686,557.0460013959025,600.4773395127768,669.8596070051386,786.9776979231484,815.8827454415799,753.8037261685982,627.1815142911535,618.9186904362053,728.5427742438784,727.1613536005719,710.4021485848037,683.1245893420466,708.6161971117501,675.5692614011102,609.9274838871714,609.9479539240996,593.6511430439622,608.3913987158228,670.3374670648133,685.7586781821368,630.6207080325629,606.1937977301354,604.9764529562609,577.0898189130456,549.1836709226839,586.4329541388253,644.5099498312971,704.6238396119111,721.3382773108261,690.2337288069476,686.5343495575136,650.3654433422095,617.9770210631403,587.7057135548288,608.8138348361565,639.2962507027457,588.2020801672448,512.795103808915,532.1898100371237,570.1457435203591,578.7444856649169,586.0786521799121,565.7171145349171,564.129296630897,586.3015774981909,596.132596384476,588.5078982794926,577.6795229109346,581.2131526188292,619.1887370474807,735.5519213819321,838.8053895345229,813.0752322763725,702.6923787571952,631.6467164581516,674.7737241237401,764.5793565949725,765.3988690256983,653.9318775142735,592.4523053597501,622.4714327373691,603.1973147752598,546.1796745553934,574.925590398139,643.0960792866186,684.6127328705566,655.9021285168521,613.0182911464287,616.5938367938745,551.1913949730058,556.1796436356926,593.478949349376,593.1659869604471,636.752813575493,665.9011044077598,645.2127952955263,613.7706500863154,590.3826074847495,587.9414761390024,612.6524210201331,632.2048996833938,645.6257571759802,650.7312789924036,631.8276104576908,632.6588216234804,589.5517296285919,578.2516959599894,648.9380313450897,659.5813118918417,652.6521102817464,634.4778603825006,607.9073936387239,593.9019457654258,580.2771972778279,586.6684583444868,600.2758024720869,556.0718170965094,555.2700140798228,618.0795435538945,652.64044513766,632.9296232448974,629.1650438569891,643.2037175435306,644.022832834684,650.4039218336096,628.9203214164075,571.3482953487162,601.5756120565171,625.7028323524195,610.2222841628422,616.9965771853009,568.327719106513
std,575.1508415559128,419.695780485753,402.9931662225104,387.8103866781903,380.4165054160906,343.5653541985178,322.84547004440685,321.40576717899205,325.50335141197047,347.8605496990286,315.41484410186825,300.86097423788345,328.5813047172796,303.17576194133403,300.4683006232005,294.5100522171697,274.7935724703712,316.1801813269893,397.9697829930448,426.896036772919,431.92020573764086,368.09714017679505,311.46543197011147,357.45019334057815,364.76614099792846,377.94602842807075,352.6707832715392,417.6940912736982,386.1085773686681,328.8460240125541,325.6447247303233,328.723504261741,322.2835380859723,312.38345493282833,341.0087696493954,316.5528293228882,307.67668099702496,319.07947865002376,321.32329167123675,330.3878250066699,327.9251353156461,291.3624228784841,330.3899852570501,323.856265584595,314.465396343318,359.55529776853365,350.1631558211695,370.40276980692255,338.33638630239426,316.2193615971476,330.03014283936545,326.51884040655636,278.62128919668856,282.10884806446455,295.0383454019094,300.3972561617835,298.6385196473387,311.49897113769254,317.19069666538746,297.6033770641283,306.3259190934098,310.85340163187533,292.9908251635033,303.0053671344856,290.6247867116495,289.4345803294656,336.74242959312096,396.7565821063375,400.45054701952415,322.557743850007,277.107658872966,311.28489896280195,380.3676633277674,390.38130911520545,362.9262791891365,321.3821994582089,336.13678527218684,325.22753507629255,313.41437874060995,313.76889140991136,356.25737797273746,377.7914840589922,350.9713124178051,352.4310818137968,332.76683822784713,331.19490748949744,289.8739918734451,317.22819132682815,311.34222107325934,339.1924599463438,356.6600837843306,310.49658482378385,311.47490693082693,285.6849202024562,297.27569439688176,339.7673716846556,321.0004386264657,312.4522783974942,354.2712717102898,390.69443536038074,322.1954113795346,310.13977942644794,311.17607232506117,323.3464896514572,341.8114040581649,319.6997393448018,330.15746730088887,310.7035173137962,306.8331717412898,323.33594794093653,315.6273432246398,317.25665013460707,307.6609898826528,298.26702983994034,373.29042595881253,347.31092603945376,291.7989192800395,300.26989274528,330.70888945765864,334.5206059016522,322.2310505380695,319.33762687238,306.9237059632177,322.06521349552463,350.78345445789813,326.38671706179196,314.99138065551205,294.8715287631323
min,9.171172735958578,17.827536870933763,7.478497646517862,53.24222879933729,56.03382496331516,15.714720687931274,51.20267664031144,77.0845859372257,37.148711681230814,20.5280637198355,26.52349797841101,22.972977747469013,54.062311498895895,41.75344111340296,53.01899307883581,6.960251859123724,4.2835926758348695,43.181772629655214,28.85371962775522,22.187260167150267,42.95471243135739,22.22990947224294,24.417005339188496,52.13321970672517,60.304252839641215,10.006992301906948,28.86892699251944,17.63181122003675,55.99437715697106,63.57913597723828,52.39737567797315,29.4134404552395,61.673923028931874,46.40564045197345,40.564802289042106,12.818651011770786,57.74059474137585,41.18867379713823,36.90846522703594,36.64377660276048,33.660370199232176,27.89852814640662,32.85435543667384,31.518028949676037,79.3664116757562,28.293041501859683,41.32658077638645,50.97075410749548,41.53263825971146,24.62929901449445,21.792101926463488,44.467977031240665,5.414164455820829,13.069828534384584,11.240858748219074,37.99039502275917,43.27412878633292,44.25833577847128,20.168170541223333,12.607386364257014,41.69835272863846,13.212371688753333,45.89218565833856,41.747640230231625,15.704624037313764,37.51443543048729,27.474404016324534,4.676144159461359,100.28474702205057,24.27474780792273,28.24323176363765,36.83297657662944,14.190276046979724,32.79601379713994,29.626630989432147,10.79708723340821,5.47832740778864,35.90791984133462,36.09320477897711,41.66125605409771,28.34979230416766,9.94573182438725,26.600588776506168,22.440733951949586,52.80894300583978,31.60210395304584,27.65937640584193,48.339201483117066,33.93490966480234,9.372244151423176,21.974430586044782,31.079506171559277,30.311109967292413,36.93423826185375,26.064683630872224,11.150069917358026,37.97003856213318,41.88735788616284,18.40806025999787,20.950009761015178,56.418102847852616,32.91348655089865,19.31135158942006,12.949210479920511,33.65984813839423,21.62447924376081,71.3370861999684,18.22894116362071,25.7718222049069,38.65089401023119,11.060297486719143,21.085705617020334,70.28645797052535,24.83520193789212,39.838974813053966,32.505170170889734,72.34536320479678,24.882028236994355,52.89222132844056,28.974612147101787,44.39985755216082,53.66942107266584,57.60260364495543,20.94860459088981,6.825182600289535,16.979084393582966,65.61464564126207,65.82075353880614
25%,394.5461252419546,443.25388586001867,350.5809670046715,482.133345972832,463.5833962810631,445.42233465675275,409.2781016191087,400.89604899805636,379.45623595526877,360.03307716131496,307.85744870448764,330.3434253271629,341.81839679763345,435.64258946122015,402.12934489133306,347.19771275633855,341.5245132614624,364.84698902675916,384.4811791559366,455.97635252858225,458.59077815465037,484.1321023754812,405.7827786682975,351.135880129551,448.49183493271846,440.16445855933443,433.3967479117779,396.1116457279671,416.5366213476078,437.8890883040311,332.1642354788442,378.705623025889,319.8604625416335,383.25908649312197,411.8808766534013,416.0506704829262,410.56543412429926,348.59966258534615,342.3475122865958,328.32422665260424,294.378645684654,377.9579277346837,395.9537842537384,458.4417218316267,484.3270964466463,378.58801906191445,396.14733192034845,375.70197216294457,383.62220459556835,355.85742868693717,335.6839561869466,390.2494501332449,377.9442132132619,306.6405298912161,305.66848105448145,353.60435639867524,353.2961776633666,355.17852953969054,308.36449008711486,358.5529934843748,372.2808827505862,365.36330593293724,370.09006375849594,360.71007902767417,342.08918433649507,410.7462402373684,485.38496766064713,534.7166375081766,517.7037553200314,459.01587958191186,451.75698164907976,463.61312413015725,453.94666190664736,473.2458767745048,369.23124966299747,354.74125527904334,394.8376644935141,331.9421676025883,324.5661991609886,339.833449961121,378.2803767472192,395.8646142345675,405.1050709893376,327.91624516547256,368.0078528695388,298.18339760353865,337.0994626828535,367.7089216361488,343.2555843331977,383.2843904987915,370.85693874067243,419.2855670023687,366.7428287493086,400.17279532394434,370.91171754982037,380.78730471318374,398.7494299395724,410.8144709577355,376.822446342225,343.4217886971767,382.19638084996336,369.1502048408631,352.79159193427074,412.94416774004446,390.5377653605448,421.94674670290453,400.4600095845676,389.33840888480097,377.8097435728377,336.9041105264928,342.4669088839961,367.5605189253352,318.7582076228464,321.73084263997447,364.73811883912083,379.06618407275175,422.74406198649433,402.52322722729514,405.31963485677915,431.94122972578816,418.8001764869409,401.6108538537085,334.46929147359197,366.02481118332395,377.717405680913,376.334841305914,367.33198473921124,330.6789915743239
50%,730.7479627701462,720.7668678349668,536.3243916321914,658.2285433141036,669.5306685217373,681.7618571489762,661.1354296730248,597.6997843997863,577.1550542309378,535.4494772052452,522.5097283681699,498.38763952004143,562.8048527328066,589.4242945622881,588.3313276155171,514.1669754552236,533.6832261960257,552.0500810287252,616.0487303102515,744.549798185412,742.8057091663352,690.292319303928,599.9225411506189,579.5303234667276,694.012224335524,682.7866838019027,679.9775186315516,591.6509041297411,653.0111719501987,644.6661200293223,591.4504690342487,558.3393368648148,575.2571349790329,561.669959389889,648.017022373832,650.8383135337053,610.1969350545669,573.2156010460449,565.2749294312503,504.25031767451,500.531897365147,554.8045247187956,631.3121635654726,673.7388000548324,697.3897654490819,681.9193297909486,647.7761733105182,589.8881444045468,558.5426919878847,541.8789313628093,572.5314639305651,590.191487897193,570.71839698471,483.0896998489948,478.4848230838353,543.8496912267369,572.4917298905104,549.7895983362623,512.6520304020656,514.4480928415595,550.2455888786861,565.2761007336056,569.1659408066156,537.5104258076336,560.6686022307258,580.9097575249828,735.5735432509144,837.0143948623394,773.8398146545309,674.0432468936776,637.0813190058406,655.5107068290467,718.6692540421135,747.4241928894916,591.0743053484066,556.1721818005849,578.9395470174537,567.0283533657883,514.1463224589427,535.0747961803112,578.427146761748,611.1665832239653,574.5987592072057,568.3465371392246,548.1002859270983,498.7450664156872,516.6332195625976,547.9771485790264,583.1500914274457,589.7945609969316,635.0664263024393,626.1760353681699,591.4350005239744,545.6541083963652,541.6594632535076,577.5253670615167,605.6661095315059,604.9070743069009,605.4997724893261,539.0447609053508,599.3808501094428,556.2229987963494,521.9282854871813,642.119912127769,633.3939467985213,614.8327824018713,573.775483676287,570.5271377335006,537.5531305857576,509.8730315409205,561.5548645813495,586.8169218594082,494.6798103681343,502.0681950647341,536.3603086438294,597.7559961763468,605.1467151789038,609.5578531989665,608.4773412890783,620.4274180164983,644.8636235665444,585.1400134802864,538.279164075779,550.4311274155149,558.0890115556456,565.0140509259558,600.5774501182736,538.2178316353352
75%,1269.8382403648552,1018.8305097294387,837.3884671781398,906.0535571724927,920.7370440211585,904.2516204647675,884.2193081842324,852.9480695981277,776.3243883628525,731.133089855196,729.0355432171636,698.7081600487147,827.7144533589967,838.4720655692789,797.0562924540104,761.4253114872602,723.1279526616636,780.3234166847099,866.5182968986596,1028.6083765075969,1168.9363676715468,1012.0848061301724,827.6086145772699,853.0874741048078,976.0981335318074,980.8007886369787,986.9891930999441,830.2043996191564,903.5252838352063,910.1852595046036,859.5566692399432,802.7566815467826,820.4936539594526,788.9472908728917,932.1499953371176,914.4094704855518,860.3075299262027,782.8475979291165,809.5953181147577,764.2690934918104,709.204250560084,757.9140437307199,895.8580848856308,932.0942999982328,927.6017764222495,946.6554450754213,947.0012276700985,843.3667069025355,761.6210572127142,783.3159388030623,812.5360140832906,870.5774972791262,760.3000427607615,675.8581798605201,688.6121017740049,719.2243962994764,776.4254541014875,776.8894699433553,812.8514296960193,735.7213910154508,771.1685431299923,774.8534377279884,776.7875751845845,760.7543932769171,785.8962302105555,824.1790961594869,957.0140743288674,1104.1365428449249,1107.7376309715928,897.5114907674554,780.2311461071631,875.4031050378507,1068.0878614404946,1024.5957370458539,864.0601511944692,781.5004643546508,862.3023435972772,854.8660193269707,698.7531794403093,745.4693397541951,826.6014287853834,924.5330656057183,885.4038702693866,843.5192819194995,808.6110482532147,737.3575512709294,726.0818139426476,788.1359465899569,808.5519665483253,846.2722636359999,920.5487441538476,858.9234325161497,839.847840960646,743.9744557221491,763.4330363863007,798.5984153311701,812.0839373856445,836.9879738318207,844.7904331640664,831.9376628897326,854.1630464180744,739.7820575400822,786.4648017390178,847.0353617699236,878.3920782884067,822.2062257128794,806.9817157756383,766.4625782563651,770.2922426978663,757.8592778118709,759.520665622455,771.893928559417,737.1219952395693,746.6471724783396,791.9697723354211,885.4905939674627,804.6137153193755,818.9544871969208,830.5018188261995,851.5063097076088,833.8830735294412,836.6878518093886,786.8167331390648,828.5254051338599,846.5951171341355,796.448742473226,826.2242135954853,771.1729243284877
max,3048.748140086216,2610.4471007604566,2850.1540044905064,3226.02987316064,2395.701588867658,2025.971401815462,1711.118357412554,1730.962670007382,1685.819087622994,1830.6563231985883,1896.5037565673765,1641.884163325678,1680.1750888863123,1683.7932580261574,1744.5271383914146,1735.0268156425122,1382.4032473901716,1976.5026958748767,2662.4320207470264,2575.966798134661,2037.4165072898036,2036.2187412420496,1761.052328082235,1615.4221160674313,1863.6305461556212,1851.164606192561,1853.0983546776472,2067.2234269097244,2031.636871629875,1578.4732463728897,1653.189362074968,2106.954869815117,1786.8157232286062,2015.3484720983984,1873.8785451711533,1712.6258372867912,2742.2313344396703,2929.104774059513,1868.5240521767707,1821.749857514519,1752.3975231162533,1755.0795148938807,1524.2716602381736,1809.9995324331287,2013.2663147331343,1864.5357147390168,2142.062244871656,2327.9228321053547,1982.823671443312,1629.5719001025986,1588.1739431264402,1870.6262763379036,1404.1383523219135,1735.4481634307033,1549.3203631766903,1938.562799101832,1640.8710174676862,1736.9307640102695,1993.3485742956875,1752.7955316876307,1621.705574118938,1904.7596758101392,1926.669501683292,1624.184520307096,1405.3929231318932,1666.623022094115,2009.147299665578,1904.4870867464651,2106.339719821619,2025.006179221208,2360.000815725605,1663.6872377170052,1864.8754939567275,1894.56571198446,2142.093326193625,1840.2087642141428,1813.8794763752708,1576.5914232883551,1823.8372624216076,1625.0402242116622,1784.8774604498492,2152.507291984128,1828.7149747926012,1905.8813389666768,1813.0753559853931,1856.006390717891,1812.4493305150208,1575.8599447212323,1811.28331261588,1787.0151335603673,1561.9602136659878,1363.243467414824,1626.5274236066691,1921.1388348717535,1687.99076555251,1720.9400321261369,1739.716535698503,1645.962821818434,1603.5454956981016,1825.752997136432,1988.5429053164585,1895.1257808048736,1664.3459751897549,2174.193565183671,1892.008383412068,1578.6925534399936,2091.9995027466125,1933.9373605601784,1962.0097096483837,1734.6352458899858,1904.8686478947284,1947.8482064817204,1909.6495236933863,1721.7722612463017,1878.039217944816,1627.1179349450265,1487.99841755561,1629.9700648886208,1818.392855026248,1782.4557725224104,2106.7937964605903,2009.3328848193871,1638.5129359835405,1803.240974607978,1968.324991587448,2217.800079656696,1891.2820016141657,1431.2230380155718
